T2,AUGC,KEP,KTRANS,VE,ADC,z,x,y,zone
79,97,97,37,379,728,3,112,126,CG
102,97,105,37,351,728,3,112,127,CG
127,107,132,38,288,1245,3,112,128,CG
135,107,113,37,324,1245,3,112,129,CG
139,107,113,37,324,956,3,112,130,CG
129,117,105,39,370,956,3,112,131,CG
94,117,101,42,404,956,3,112,132,CG
78,136,164,44,276,811,3,113,124,CG
68,136,164,44,276,728,3,113,125,CG
84,136,164,44,276,728,3,113,126,CG
176,126,195,45,233,728,3,113,127,CG
322,97,97,38,385,1245,3,113,128,CG
344,156,281,56,202,1245,3,113,129,CG
250,156,281,56,202,956,3,113,130,CG
239,166,265,59,226,956,3,113,131,CG
206,175,277,62,227,956,3,113,132,CG
109,175,277,62,227,1029,3,113,133,CG
57,205,300,70,232,1029,3,113,134,CG
77,146,105,46,441,708,3,114,122,CG
72,156,128,52,405,1088,3,114,123,CG
70,156,207,54,261,1088,3,114,124,CG
76,156,207,54,261,1155,3,114,125,CG
137,156,207,54,261,1155,3,114,126,CG
447,146,253,53,212,1155,3,114,127,CG
162,156,304,54,180,1285,3,114,128,CG
529,156,304,55,183,1285,3,114,129,CG
403,156,304,55,183,847,3,114,130,CG
346,156,277,56,206,847,3,114,131,CG
242,166,273,58,213,847,3,114,132,CG
130,166,273,58,213,1138,3,114,133,CG
65,195,300,66,220,1138,3,114,134,CG
70,205,300,67,223,1138,3,114,135,CG
82,205,300,67,223,1411,3,114,136,CG
65,146,105,46,441,708,3,115,121,CG
68,146,105,46,441,708,3,115,122,CG
67,156,128,52,405,1088,3,115,123,CG
61,156,207,54,261,1088,3,115,124,CG
76,156,207,54,261,1155,3,115,125,CG
135,156,207,54,261,1155,3,115,126,CG
267,146,253,53,212,1155,3,115,127,CG
306,156,304,54,180,1285,3,115,128,CG
253,156,304,55,183,1285,3,115,129,CG
363,156,304,55,183,847,3,115,130,CG
356,156,277,56,206,847,3,115,131,CG
189,166,273,58,213,847,3,115,132,CG
91,166,273,58,213,1138,3,115,133,CG
55,195,300,66,220,1138,3,115,134,CG
66,205,300,67,223,1138,3,115,135,CG
109,205,300,67,223,1411,3,115,136,CG
115,214,359,72,199,1411,3,115,137,CG
122,97,23,32,1300,768,3,116,119,PZ
104,117,46,37,764,708,3,116,120,CG
74,146,105,46,441,708,3,116,121,CG
69,146,105,46,441,708,3,116,122,CG
66,156,128,52,405,1088,3,116,123,CG
61,156,207,54,261,1088,3,116,124,CG
69,156,207,54,261,1155,3,116,125,CG
77,156,207,54,261,1155,3,116,126,CG
87,146,253,53,212,1155,3,116,127,CG
104,156,304,54,180,1285,3,116,128,CG
118,156,304,55,183,1285,3,116,129,CG
134,156,304,55,183,847,3,116,130,CG
146,156,277,56,206,847,3,116,131,CG
131,166,273,58,213,847,3,116,132,CG
88,166,273,58,213,1138,3,116,133,CG
63,195,300,66,220,1138,3,116,134,CG
68,205,300,67,223,1138,3,116,135,CG
90,205,300,67,223,1411,3,116,136,CG
97,214,359,72,199,1411,3,116,137,CG
93,195,394,77,194,1088,3,116,138,CG
205,156,226,49,220,653,3,117,118,PZ
148,156,226,49,220,653,3,117,119,CG
135,136,203,48,244,596,3,117,120,CG
100,146,140,53,381,596,3,117,121,CG
61,146,140,53,381,596,3,117,122,CG
62,185,140,63,452,963,3,117,123,CG
72,224,207,84,408,963,3,117,124,CG
79,224,207,84,408,1166,3,117,125,CG
73,224,207,84,408,1166,3,117,126,CG
69,214,269,85,316,1166,3,117,127,CG
77,185,261,72,273,1341,3,117,128,CG
89,175,293,73,249,1341,3,117,129,CG
93,175,293,73,249,1062,3,117,130,CG
83,185,273,70,255,1062,3,117,131,CG
85,185,296,71,236,1062,3,117,132,CG
90,185,296,71,236,1025,3,117,133,CG
69,185,316,65,209,1025,3,117,134,CG
78,195,324,68,210,1025,3,117,135,CG
90,195,324,68,210,1474,3,117,136,CG
78,234,425,86,203,1474,3,117,137,CG
82,253,476,96,201,1040,3,117,138,CG
119,253,476,96,201,1040,3,117,139,CG
110,224,472,83,176,1040,3,117,140,PZ
105,205,441,76,172,1307,3,117,141,PZ
156,126,250,43,176,969,3,118,116,PZ
193,146,285,49,175,969,3,118,117,PZ
217,166,273,54,201,653,3,118,118,PZ
147,166,273,54,201,653,3,118,119,CG
109,166,222,52,235,596,3,118,120,CG
92,146,140,55,393,596,3,118,121,CG
78,146,140,55,393,596,3,118,122,CG
68,166,128,65,493,963,3,118,123,CG
74,166,128,65,493,963,3,118,124,CG
80,244,164,88,538,1166,3,118,125,CG
69,244,164,88,538,1166,3,118,126,CG
63,244,203,90,445,1166,3,118,127,CG
70,205,253,82,321,1341,3,118,128,CG
80,195,296,82,274,1341,3,118,129,CG
84,195,296,82,274,1062,3,118,130,CG
82,205,320,82,257,1062,3,118,131,CG
89,166,347,84,242,1062,3,118,132,CG
94,166,347,84,242,1025,3,118,133,CG
81,214,402,79,197,1025,3,118,134,CG
97,224,425,80,188,1025,3,118,135,CG
121,224,425,80,188,1474,3,118,136,CG
122,0,0,0,0,1474,3,118,137,CG
117,312,535,119,222,1040,3,118,138,CG
116,312,535,119,222,1040,3,118,139,CG
112,273,484,101,209,1040,3,118,140,PZ
106,234,472,89,189,1307,3,118,141,PZ
129,234,472,89,189,1307,3,118,142,PZ
160,126,250,43,176,969,3,119,115,PZ
170,126,250,43,176,969,3,119,116,PZ
158,146,285,49,175,969,3,119,117,PZ
198,166,273,54,201,653,3,119,118,PZ
164,166,273,54,201,653,3,119,119,CG
88,166,222,52,235,596,3,119,120,CG
93,146,140,55,393,596,3,119,121,CG
111,146,140,55,393,596,3,119,122,CG
85,166,128,65,493,963,3,119,123,CG
79,166,128,65,493,963,3,119,124,CG
80,244,164,88,538,1166,3,119,125,CG
71,244,164,88,538,1166,3,119,126,CG
66,244,203,90,445,1166,3,119,127,CG
69,205,253,82,321,1341,3,119,128,CG
75,195,296,82,274,1341,3,119,129,CG
72,195,296,82,274,1062,3,119,130,CG
71,205,320,82,257,1062,3,119,131,CG
72,166,347,84,242,1062,3,119,132,CG
78,166,347,84,242,1025,3,119,133,CG
90,214,402,79,197,1025,3,119,134,CG
97,224,425,80,188,1025,3,119,135,CG
114,224,425,80,188,1474,3,119,136,CG
156,0,0,0,0,1474,3,119,137,CG
225,312,535,119,222,1040,3,119,138,CG
188,312,535,119,222,1040,3,119,139,CG
158,273,484,101,209,1040,3,119,140,PZ
110,234,472,89,189,1307,3,119,141,PZ
117,234,472,89,189,1307,3,119,142,PZ
164,136,293,49,169,1134,3,120,114,PZ
161,175,402,64,160,1590,3,120,115,PZ
155,175,402,64,160,1590,3,120,116,PZ
128,185,394,66,170,1590,3,120,117,PZ
157,195,375,71,189,907,3,120,118,PZ
152,195,375,71,189,907,3,120,119,CG
106,185,277,63,229,887,3,120,120,CG
107,185,203,63,311,887,3,120,121,CG
93,185,203,63,311,887,3,120,122,CG
86,136,199,69,349,1137,3,120,123,CG
91,136,199,69,349,1137,3,120,124,CG
77,175,195,84,436,1123,3,120,125,CG
69,175,195,84,436,1123,3,120,126,CG
74,195,203,91,451,1123,3,120,127,CG
73,253,218,93,427,1080,3,120,128,CG
76,273,250,95,380,1080,3,120,129,CG
88,273,250,95,380,1084,3,120,130,CG
87,263,324,99,306,1084,3,120,131,CG
84,273,351,102,292,1084,3,120,132,CG
92,273,351,102,292,1238,3,120,133,CG
93,234,324,91,285,1238,3,120,134,CG
81,244,507,113,221,1238,3,120,135,CG
81,244,507,113,221,1153,3,120,136,CG
116,341,757,144,190,1153,3,120,137,CG
186,361,785,157,199,1414,3,120,138,CG
210,361,785,157,199,1414,3,120,139,CG
173,351,636,136,214,1414,3,120,140,PZ
131,312,570,118,207,1777,3,120,141,PZ
121,312,570,118,207,1777,3,120,142,PZ
157,253,414,88,214,1537,3,120,143,PZ
151,146,351,56,161,1134,3,121,113,PZ
124,156,363,57,158,1134,3,121,114,PZ
128,185,429,70,164,1590,3,121,115,PZ
134,185,429,70,164,1590,3,121,116,PZ
125,214,453,79,173,1590,3,121,117,PZ
135,234,429,86,202,907,3,121,118,PZ
112,234,429,86,202,907,3,121,119,CG
89,224,336,79,234,887,3,121,120,CG
97,224,253,76,299,887,3,121,121,CG
97,224,253,76,299,887,3,121,122,CG
86,224,230,77,332,1137,3,121,123,CG
83,224,230,77,332,1137,3,121,124,CG
83,175,234,84,361,1123,3,121,125,CG
81,175,234,84,361,1123,3,121,126,CG
84,195,246,91,367,1123,3,121,127,CG
84,273,242,97,400,1080,3,121,128,CG
81,283,312,111,355,1080,3,121,129,CG
101,283,312,111,355,1084,3,121,130,CG
104,322,339,113,329,1084,3,121,131,CG
99,312,359,115,318,1084,3,121,132,CG
102,312,359,115,318,1238,3,121,133,CG
95,312,410,122,295,1238,3,121,134,CG
92,244,468,126,269,1238,3,121,135,CG
93,244,468,126,269,1153,3,121,136,CG
115,341,668,142,212,1153,3,121,137,CG
179,351,730,151,207,1414,3,121,138,CG
189,351,730,151,207,1414,3,121,139,CG
116,332,683,134,197,1414,3,121,140,PZ
116,322,672,126,189,1777,3,121,141,PZ
135,322,672,126,189,1777,3,121,142,PZ
138,0,0,0,0,1537,3,121,143,PZ
119,146,351,56,161,1918,3,122,112,PZ
121,146,351,56,161,1918,3,122,113,PZ
134,156,363,57,158,1918,3,122,114,PZ
128,185,429,70,164,1658,3,122,115,PZ
119,185,429,70,164,1658,3,122,116,PZ
128,214,453,79,173,1658,3,122,117,PZ
131,234,429,86,202,1178,3,122,118,PZ
126,234,429,86,202,1178,3,122,119,CG
111,224,336,79,234,1327,3,122,120,CG
113,224,253,76,299,1327,3,122,121,CG
113,224,253,76,299,1327,3,122,122,CG
86,224,230,77,332,1084,3,122,123,CG
74,224,230,77,332,1084,3,122,124,CG
79,175,234,84,361,1196,3,122,125,CG
80,175,234,84,361,1196,3,122,126,CG
77,195,246,91,367,1196,3,122,127,CG
76,273,242,97,400,1141,3,122,128,CG
89,283,312,111,355,1141,3,122,129,CG
115,283,312,111,355,1063,3,122,130,CG
140,322,339,113,329,1063,3,122,131,CG
134,312,359,115,318,1063,3,122,132,CG
124,312,359,115,318,1115,3,122,133,CG
122,312,410,122,295,1115,3,122,134,CG
121,244,468,126,269,1115,3,122,135,CG
131,244,468,126,269,1003,3,122,136,CG
142,341,668,142,212,1003,3,122,137,CG
157,351,730,151,207,1429,3,122,138,CG
207,351,730,151,207,1429,3,122,139,CG
161,332,683,134,197,1429,3,122,140,PZ
114,322,672,126,189,2062,3,122,141,PZ
122,322,672,126,189,2062,3,122,142,PZ
114,0,0,0,0,1900,3,122,143,PZ
131,0,0,0,0,1900,3,122,144,PZ
122,224,464,84,182,1918,3,123,112,PZ
107,224,464,84,182,1918,3,123,113,PZ
129,224,531,87,165,1918,3,123,114,PZ
126,253,550,98,179,1658,3,123,115,PZ
135,253,550,98,179,1658,3,123,116,PZ
160,283,574,110,192,1658,3,123,117,PZ
108,322,535,121,226,1178,3,123,118,PZ
97,322,535,121,226,1178,3,123,119,CG
119,332,511,126,244,1327,3,123,120,CG
115,302,375,121,321,1327,3,123,121,CG
100,302,375,121,321,1327,3,123,122,CG
96,293,328,117,355,1084,3,123,123,CG
102,293,328,117,355,1084,3,123,124,CG
89,205,300,110,368,1196,3,123,125,CG
82,205,300,110,368,1196,3,123,126,CG
81,214,316,112,353,1196,3,123,127,CG
84,341,441,133,302,1141,3,123,128,CG
87,361,519,146,281,1141,3,123,129,CG
82,361,519,146,281,1063,3,123,130,CG
86,371,511,138,272,1063,3,123,131,CG
105,332,468,134,285,1063,3,123,132,CG
124,332,468,134,285,1115,3,123,133,CG
140,371,410,134,325,1115,3,123,134,CG
129,371,480,149,311,1115,3,123,135,CG
147,371,480,149,311,1003,3,123,136,CG
155,400,488,154,315,1003,3,123,137,CG
132,400,480,153,318,1429,3,123,138,CG
173,400,480,153,318,1429,3,123,139,CG
181,293,550,147,269,1429,3,123,140,PZ
118,273,629,140,223,2062,3,123,141,PZ
118,273,629,140,223,2062,3,123,142,PZ
120,0,0,0,0,1900,3,123,143,PZ
150,0,0,0,0,1900,3,123,144,PZ
120,224,230,70,303,1056,3,124,111,PZ
