T2,AUGC,KEP,KTRANS,VE,ADC,z,x,y,zone
48,87,0,25,0,176,3,123,124,CG
56,87,0,25,0,176,3,123,125,CG
73,78,0,26,0,176,3,123,126,CG
69,78,0,23,0,468,3,124,123,CG
66,87,0,25,0,176,3,124,124,CG
59,87,0,25,0,176,3,124,125,CG
66,78,0,26,0,176,3,124,126,CG
80,87,0,26,0,860,3,124,127,CG
109,87,0,28,0,1179,3,124,132,CG
127,97,0,29,0,731,3,124,134,CG
106,97,0,29,0,731,3,124,135,CG
76,58,0,27,0,731,3,124,136,CG
60,78,0,24,0,328,3,124,137,CG
70,78,0,24,0,328,3,124,138,CG
64,78,0,24,0,892,3,124,139,CG
106,68,160,27,173,892,3,124,141,PZ
87,68,160,27,173,961,3,124,142,PZ
61,87,46,28,612,610,3,125,122,CG
60,87,39,27,668,610,3,125,123,CG
59,0,0,0,0,168,3,125,124,CG
51,0,0,0,0,168,3,125,125,CG
61,0,0,0,0,168,3,125,126,CG
96,68,0,20,0,1020,3,125,127,CG
113,68,0,22,0,1020,3,125,128,CG
101,68,0,22,0,1003,3,125,129,CG
96,39,0,23,0,1003,3,125,130,CG
107,58,19,24,1078,1003,3,125,131,CG
110,58,19,24,1078,1164,3,125,132,CG
110,58,0,16,0,1164,3,125,133,CG
107,58,0,17,0,754,3,125,134,CG
104,58,0,17,0,754,3,125,135,CG
89,58,70,25,358,754,3,125,136,CG
59,68,66,26,388,398,3,125,137,CG
68,68,66,26,388,398,3,125,138,CG
71,68,66,26,388,1009,3,125,139,CG
95,68,15,23,1484,1009,3,125,141,PZ
84,68,15,23,1484,857,3,125,142,PZ
89,78,93,25,274,857,3,125,143,PZ
80,68,93,28,299,791,3,126,120,PZ
76,78,27,27,884,610,3,126,122,CG
62,87,82,30,370,610,3,126,123,CG
60,87,54,26,457,168,3,126,124,CG
62,87,54,26,457,168,3,126,125,CG
57,78,3,23,1441,168,3,126,126,CG
82,68,0,21,0,1020,3,126,127,CG
104,58,0,21,0,1020,3,126,128,CG
102,58,0,21,0,1003,3,126,129,CG
94,48,0,23,0,1003,3,126,130,CG
96,48,0,21,0,1003,3,126,131,CG
108,48,0,21,0,1164,3,126,132,CG
108,48,0,17,0,1164,3,126,133,CG
99,48,0,17,0,754,3,126,134,CG
103,48,0,17,0,754,3,126,135,CG
85,48,78,25,321,754,3,126,136,CG
61,0,0,0,0,398,3,126,137,CG
66,0,0,0,0,398,3,126,138,CG
73,0,0,0,0,1009,3,126,139,CG
95,68,35,24,695,1009,3,126,141,PZ
87,68,35,24,695,857,3,126,142,PZ
93,68,42,24,550,857,3,126,143,PZ
109,68,0,19,0,1013,3,127,117,PZ
100,0,0,0,0,1013,3,127,118,PZ
95,0,0,0,0,791,3,127,119,PZ
86,68,93,28,299,791,3,127,120,PZ
83,78,27,27,884,610,3,127,121,PZ
84,78,27,27,884,610,3,127,122,CG
73,87,82,30,370,610,3,127,123,CG
63,87,54,26,457,168,3,127,124,CG
61,87,54,26,457,168,3,127,125,CG
61,78,3,23,1441,168,3,127,126,CG
77,68,0,21,0,1020,3,127,127,CG
