T2,AUGC,KEP,KTRANS,VE,ADC,z,x,y,zone
68,312,218,113,513,589,4,119,115,CG
80,312,218,113,513,589,4,119,116,CG
92,195,46,69,1369,494,4,119,117,CG
94,195,46,69,1369,494,4,119,118,CG
78,195,46,69,1369,440,4,119,119,CG
73,195,46,69,1369,440,4,119,120,CG
86,146,39,72,1836,440,4,119,121,CG
80,146,39,72,1836,617,4,119,122,CG
73,185,367,128,350,589,4,120,114,CG
77,312,218,113,513,589,4,120,115,CG
88,312,218,113,513,589,4,120,116,CG
85,195,46,69,1369,494,4,120,117,CG
74,195,46,69,1369,494,4,120,118,CG
77,195,46,69,1369,440,4,120,119,CG
86,195,46,69,1369,440,4,120,120,CG
83,146,39,72,1836,440,4,120,121,CG
77,146,39,72,1836,617,4,120,122,CG
71,185,125,104,815,617,4,120,123,CG
63,459,425,181,423,884,4,121,112,CG
69,459,425,181,423,884,4,121,113,CG
91,459,425,181,423,970,4,121,114,CG
69,429,179,145,792,970,4,121,115,CG
63,429,179,145,792,970,4,121,116,CG
90,322,39,104,677,593,4,121,117,CG
79,322,39,104,677,593,4,121,118,CG
67,322,39,104,677,536,4,121,119,CG
69,322,39,104,677,536,4,121,120,CG
72,293,121,100,815,536,4,121,121,CG
78,293,121,100,815,507,4,121,122,CG
68,234,82,88,1052,507,4,121,123,CG
60,234,82,88,1052,463,4,121,124,CG
85,459,425,181,423,884,4,122,111,CG
73,459,425,181,423,884,4,122,112,CG
92,459,425,181,423,884,4,122,113,CG
118,459,425,181,423,970,4,122,114,CG
91,429,179,145,792,970,4,122,115,CG
71,429,179,145,792,970,4,122,116,CG
70,322,39,104,677,593,4,122,117,CG
78,322,39,104,677,593,4,122,118,CG
79,322,39,104,677,536,4,122,119,CG
80,322,39,104,677,536,4,122,120,CG
86,293,121,100,815,536,4,122,121,CG
78,293,121,100,815,507,4,122,122,CG
60,234,82,88,1052,507,4,122,123,CG
65,234,82,88,1052,463,4,122,124,CG
72,234,82,88,1052,463,4,122,125,CG
83,459,425,181,423,570,4,123,110,CG
66,459,425,181,423,884,4,123,111,CG
102,459,425,181,423,884,4,123,112,CG
125,459,425,181,423,884,4,123,113,CG
80,459,425,181,423,970,4,123,114,CG
67,429,179,145,792,970,4,123,115,CG
82,429,179,145,792,970,4,123,116,CG
77,322,39,104,677,593,4,123,117,CG
80,322,39,104,677,593,4,123,118,CG
93,322,39,104,677,536,4,123,119,CG
76,322,39,104,677,536,4,123,120,CG
66,293,121,100,815,536,4,123,121,CG
69,293,121,100,815,507,4,123,122,CG
68,234,82,88,1052,507,4,123,123,CG
59,234,82,88,1052,463,4,123,124,CG
60,234,82,88,1052,463,4,123,125,CG
60,234,82,88,1052,463,4,123,126,CG
82,478,343,204,592,816,4,124,110,CG
77,478,343,204,592,1309,4,124,111,CG
89,478,343,204,592,1309,4,124,112,CG
94,478,343,204,592,1309,4,124,113,CG
97,478,343,204,592,861,4,124,114,CG
102,439,50,151,926,861,4,124,115,CG
104,439,50,151,926,861,4,124,116,CG
97,410,113,144,1237,856,4,124,117,CG
93,410,113,144,1237,856,4,124,118,CG
87,410,113,144,1237,880,4,124,119,CG
74,410,113,144,1237,880,4,124,120,CG
64,97,46,70,1483,880,4,124,121,CG
62,97,46,70,1483,676,4,124,122,CG
65,224,101,84,820,676,4,124,123,CG
64,224,101,84,820,395,4,124,124,CG
71,224,101,84,820,395,4,124,125,CG
68,224,101,84,820,395,4,124,126,CG
67,420,351,171,485,816,4,125,109,CG
71,478,343,204,592,816,4,125,110,CG
88,478,343,204,592,1309,4,125,111,CG
135,478,343,204,592,1309,4,125,112,CG
137,478,343,204,592,1309,4,125,113,CG
181,478,343,204,592,861,4,125,114,CG
189,439,50,151,926,861,4,125,115,CG
101,439,50,151,926,861,4,125,116,CG
89,410,113,144,1237,856,4,125,117,CG
120,410,113,144,1237,856,4,125,118,CG
130,410,113,144,1237,880,4,125,119,CG
107,410,113,144,1237,880,4,125,120,CG
76,97,46,70,1483,880,4,125,121,CG
65,97,46,70,1483,676,4,125,122,CG
67,224,101,84,820,676,4,125,123,CG
61,224,101,84,820,395,4,125,124,CG
66,224,101,84,820,395,4,125,125,CG
73,224,101,84,820,395,4,125,126,CG
76,302,66,98,1459,897,4,125,127,CG
73,420,351,171,485,972,4,126,109,CG
107,478,343,204,592,972,4,126,110,CG
192,478,343,204,592,1163,4,126,111,CG
229,478,343,204,592,1163,4,126,112,CG
158,478,343,204,592,1163,4,126,113,CG
103,478,343,204,592,843,4,126,114,CG
90,439,50,151,926,843,4,126,115,CG
86,439,50,151,926,843,4,126,116,CG
92,410,113,144,1237,1006,4,126,117,CG
92,410,113,144,1237,1006,4,126,118,CG
106,410,113,144,1237,918,4,126,119,CG
103,410,113,144,1237,918,4,126,120,CG
77,97,46,70,1483,918,4,126,121,CG
82,97,46,70,1483,871,4,126,122,CG
86,224,101,84,820,871,4,126,123,CG
61,224,101,84,820,506,4,126,124,CG
61,224,101,84,820,506,4,126,125,CG
76,224,101,84,820,506,4,126,126,CG
76,302,66,98,1459,677,4,126,127,CG
77,302,66,98,1459,677,4,126,128,CG
79,420,351,171,485,972,4,127,109,CG
153,478,343,204,592,972,4,127,110,CG
309,478,343,204,592,1163,4,127,111,CG
125,478,343,204,592,1163,4,127,112,CG
95,478,343,204,592,1163,4,127,113,CG
98,478,343,204,592,843,4,127,114,CG
81,439,50,151,926,843,4,127,115,CG
83,439,50,151,926,843,4,127,116,CG
87,410,113,144,1237,1006,4,127,117,CG
74,410,113,144,1237,1006,4,127,118,CG
73,410,113,144,1237,918,4,127,119,CG
82,410,113,144,1237,918,4,127,120,CG
83,97,46,70,1483,918,4,127,121,CG
85,97,46,70,1483,871,4,127,122,CG
76,224,101,84,820,871,4,127,123,CG
63,224,101,84,820,506,4,127,124,CG
56,224,101,84,820,506,4,127,125,CG
59,224,101,84,820,506,4,127,126,CG
72,302,66,98,1459,677,4,127,127,CG
96,302,66,98,1459,677,4,127,128,CG
99,341,128,129,989,1478,4,127,129,PZ
114,556,316,207,649,877,4,128,108,CG
108,556,316,207,649,972,4,128,109,CG
123,527,187,189,1002,972,4,128,110,CG
167,527,187,189,1002,1163,4,128,111,CG
95,527,187,189,1002,1163,4,128,112,CG
