T2,AUGC,KEP,KTRANS,VE,ADC,z,x,y,zone
118,615,187,275,1467,1136,3,128,117,PZ
122,615,187,275,1467,1444,3,128,118,PZ
96,644,187,290,1518,1444,3,128,119,PZ
123,556,128,247,1912,1136,3,129,117,PZ
114,556,128,247,1912,1444,3,129,118,PZ
89,586,113,261,289,1444,3,129,119,PZ
95,634,183,291,1574,1444,3,129,120,PZ
90,537,347,255,732,928,3,130,116,PZ
110,556,128,247,1912,928,3,130,117,PZ
121,556,128,247,1912,1496,3,130,118,PZ
103,586,113,261,289,1496,3,130,119,PZ
101,634,183,291,1574,1496,3,130,120,PZ
96,478,476,237,495,928,3,131,116,PZ
110,488,265,222,830,928,3,131,117,PZ
124,488,265,222,830,1496,3,131,118,PZ
107,507,175,229,1283,1496,3,131,119,PZ
88,605,136,270,1972,1496,3,131,120,PZ
85,605,136,270,1972,1386,3,131,121,PZ
98,537,472,262,554,1074,3,132,116,PZ
113,498,328,232,707,1074,3,132,117,PZ
122,498,328,232,707,1403,3,132,118,PZ
123,498,242,228,945,1403,3,132,119,PZ
104,556,121,249,26,1403,3,132,120,PZ
84,556,121,249,26,1477,3,132,121,PZ
92,537,472,262,554,1074,3,133,116,PZ
96,498,328,232,707,1074,3,133,117,PZ
113,498,328,232,707,1403,3,133,118,PZ
130,498,242,228,945,1403,3,133,119,PZ
112,556,121,249,26,1403,3,133,120,PZ
87,556,121,249,26,1477,3,133,121,PZ
78,595,117,268,265,1477,3,133,122,PZ
102,547,441,268,605,1074,3,134,116,PZ
108,498,347,237,682,1074,3,134,117,PZ
117,498,347,237,682,1403,3,134,118,PZ
131,478,304,224,729,1403,3,134,119,PZ
128,478,183,215,1174,1403,3,134,120,PZ
110,478,183,215,1174,1477,3,134,121,PZ
85,468,132,210,1570,1477,3,134,122,PZ
74,420,101,189,1808,1147,3,134,123,PZ
115,517,472,254,540,1195,3,135,116,PZ
125,498,375,235,627,1195,3,135,117,PZ
119,498,375,235,627,1358,3,135,118,PZ
114,478,316,225,705,1358,3,135,119,PZ
121,507,207,231,1115,1358,3,135,120,PZ
139,507,207,231,1115,1564,3,135,121,PZ
122,507,164,230,1381,1564,3,135,122,PZ
87,459,97,201,16,1517,3,135,123,PZ
69,459,97,201,16,1517,3,135,124,PZ
127,517,472,254,540,1195,3,136,116,PZ
120,498,375,235,627,1195,3,136,117,PZ
116,498,375,235,627,1358,3,136,118,PZ
124,478,316,225,705,1358,3,136,119,PZ
115,507,207,231,1115,1358,3,136,120,PZ
130,507,207,231,1115,1564,3,136,121,PZ
139,507,164,230,1381,1564,3,136,122,PZ
120,459,97,201,16,1517,3,136,123,PZ
105,459,97,201,16,1517,3,136,124,PZ
79,420,97,185,1845,1517,3,136,125,PZ
131,537,492,269,547,1195,3,137,116,PZ
123,468,402,226,562,1195,3,137,117,PZ
124,468,402,226,562,1358,3,137,118,PZ
151,459,336,216,640,1358,3,137,119,PZ
152,517,253,235,926,1358,3,137,120,PZ
144,517,253,235,926,1564,3,137,121,PZ
137,537,218,245,1103,1564,3,137,122,PZ
125,517,187,233,1244,1517,3,137,123,PZ
122,517,187,233,1244,1517,3,137,124,PZ
124,498,472,245,516,1232,3,138,117,PZ
82,273,230,119,516,983,4,113,130,PZ
82,224,214,96,449,1035,4,113,131,PZ
81,224,214,96,449,1035,4,113,132,PZ
80,205,273,90,330,1424,4,113,133,PZ
86,205,300,92,307,1424,4,113,134,PZ
106,205,300,92,307,1424,4,113,135,PZ
69,1396,1144,865,755,1075,4,114,123,PZ
78,1396,1144,865,755,1075,4,114,124,PZ
85,1279,1121,781,694,1075,4,114,125,PZ
88,761,640,390,609,1148,4,114,126,PZ
93,761,640,390,609,1148,4,114,127,PZ
94,537,445,254,571,1326,4,114,128,PZ
82,537,445,254,571,1326,4,114,129,PZ
80,273,230,119,516,1326,4,114,130,PZ
85,224,214,96,449,1150,4,114,131,PZ
85,224,214,96,449,1150,4,114,132,PZ
77,205,273,90,330,1577,4,114,133,PZ
79,205,300,92,307,1577,4,114,134,PZ
116,205,300,92,307,1577,4,114,135,PZ
127,214,375,101,270,1822,4,114,136,PZ
103,234,421,111,265,1822,4,114,137,PZ
118,234,421,111,265,1822,4,114,138,PZ
126,283,457,136,299,1420,4,114,139,PZ
81,1084,871,614,701,762,4,115,120,PZ
83,1084,871,614,701,1054,4,115,121,PZ
81,1103,859,622,723,1054,4,115,122,PZ
83,976,808,541,669,1075,4,115,123,PZ
84,976,808,541,669,1075,4,115,124,PZ
90,898,804,498,618,1075,4,115,125,PZ
103,586,500,288,575,1148,4,115,126,PZ
111,586,500,288,575,1148,4,115,127,PZ
103,449,367,207,560,1326,4,115,128,PZ
80,449,367,207,560,1326,4,115,129,PZ
78,253,156,108,679,1326,4,115,130,PZ
84,234,160,101,625,1150,4,115,131,PZ
77,234,160,101,625,1150,4,115,132,PZ
76,263,265,120,454,1577,4,115,133,PZ
73,273,336,127,379,1577,4,115,134,PZ
95,273,336,127,379,1577,4,115,135,PZ
126,273,484,131,271,1822,4,115,136,PZ
125,283,566,141,248,1822,4,115,137,PZ
109,283,566,141,248,1822,4,115,138,PZ
100,312,656,161,244,1420,4,115,139,PZ
121,312,625,163,259,1420,4,115,140,PZ
134,312,625,163,259,1437,4,115,141,PZ
79,722,883,409,463,762,4,116,118,PZ
81,840,875,474,541,762,4,116,119,PZ
81,976,824,544,658,762,4,116,120,PZ
84,976,824,544,658,1054,4,116,121,PZ
84,957,781,525,673,1054,4,116,122,PZ
87,800,687,421,613,1075,4,116,123,PZ
85,800,687,421,613,1075,4,116,124,PZ
84,732,660,383,579,1075,4,116,125,PZ
99,556,511,276,540,1148,4,116,126,PZ
109,556,511,276,540,1148,4,116,127,PZ
105,449,406,210,519,1326,4,116,128,PZ
97,449,406,210,519,1326,4,116,129,PZ
88,312,261,138,526,1326,4,116,130,PZ
83,293,242,126,525,1150,4,116,131,PZ
75,293,242,126,525,1150,4,116,132,PZ
76,302,281,135,480,1577,4,116,133,PZ
83,302,320,140,438,1577,4,116,134,PZ
83,302,320,140,438,1577,4,116,135,PZ
109,302,445,146,328,1822,4,116,136,PZ
151,312,539,153,283,1822,4,116,137,PZ
157,312,539,153,283,1822,4,116,138,PZ
131,341,679,177,262,1420,4,116,139,PZ
118,351,683,183,268,1420,4,116,140,PZ
126,351,683,183,268,1437,4,116,141,PZ
148,332,531,167,313,1437,4,116,142,PZ
84,644,918,366,398,619,4,117,114,PZ
87,644,918,366,398,603,4,117,115,PZ
80,634,910,362,396,603,4,117,116,PZ
80,722,883,409,463,603,4,117,117,PZ
87,722,883,409,463,841,4,117,118,PZ
79,840,875,474,541,841,4,117,119,PZ
79,976,824,544,658,841,4,117,120,PZ
91,976,824,544,658,994,4,117,121,PZ
94,957,781,525,673,994,4,117,122,PZ
97,800,687,421,613,1256,4,117,123,PZ
99,800,687,421,613,1256,4,117,124,PZ
100,732,660,383,579,1256,4,117,125,PZ
