T2,AUGC,KEP,KTRANS,VE,ADC,z,x,y,zone
91,78,214,45,213,549,2,135,123,PZ
101,68,78,37,469,737,2,135,124,PZ
128,68,78,37,469,737,2,135,125,PZ
84,68,46,35,711,737,2,135,126,PZ
117,78,97,40,403,681,2,135,128,PZ
89,78,97,40,403,597,2,135,129,PZ
75,78,97,40,403,597,2,135,130,PZ
94,97,246,54,220,597,2,135,131,PZ
125,107,336,64,190,612,2,135,132,PZ
126,78,171,43,252,595,2,136,121,PZ
212,78,171,43,252,549,2,136,122,PZ
214,87,171,44,258,549,2,136,123,PZ
180,87,148,44,297,737,2,136,124,PZ
214,87,148,44,297,737,2,136,125,PZ
205,78,128,44,340,737,2,136,126,PZ
116,68,117,42,363,681,2,136,127,PZ
113,68,101,40,398,681,2,136,128,PZ
105,68,101,40,398,597,2,136,129,PZ
70,68,101,40,398,597,2,136,130,PZ
83,78,121,41,339,597,2,136,131,PZ
106,97,218,50,229,612,2,136,132,PZ
109,97,218,50,229,612,2,136,133,PZ
149,117,468,71,152,612,2,136,134,PZ
141,97,261,53,207,847,2,137,119,PZ
117,97,234,50,219,847,2,137,120,PZ
148,87,156,46,294,847,2,137,121,PZ
210,87,156,46,294,825,2,137,122,PZ
214,87,140,45,330,825,2,137,123,PZ
250,87,113,44,391,899,2,137,124,PZ
326,87,113,44,391,899,2,137,125,PZ
317,87,109,45,421,899,2,137,126,PZ
220,87,140,48,351,994,2,137,127,PZ
232,78,152,47,311,994,2,137,128,PZ
207,78,152,47,311,836,2,137,129,PZ
115,78,152,47,311,836,2,137,130,PZ
116,78,109,42,373,836,2,137,131,PZ
92,78,117,42,357,612,2,137,132,PZ
82,78,117,42,357,612,2,137,133,PZ
135,107,324,58,182,612,2,137,134,PZ
206,107,421,61,146,1036,2,137,135,PZ
142,97,261,53,207,329,2,138,118,PZ
159,97,261,53,207,847,2,138,119,PZ
142,97,234,50,219,847,2,138,120,PZ
157,87,156,46,294,847,2,138,121,PZ
163,87,156,46,294,825,2,138,122,PZ
144,87,140,45,330,825,2,138,123,PZ
183,87,113,44,391,899,2,138,124,PZ
222,87,113,44,391,899,2,138,125,PZ
153,87,109,45,421,899,2,138,126,PZ
122,87,140,48,351,994,2,138,127,PZ
163,78,152,47,311,994,2,138,128,PZ
231,78,152,47,311,836,2,138,129,PZ
188,78,152,47,311,836,2,138,130,PZ
183,78,109,42,373,836,2,138,131,PZ
110,78,117,42,357,612,2,138,132,PZ
65,78,117,42,357,612,2,138,133,PZ
104,107,324,58,182,612,2,138,134,PZ
153,107,421,61,146,1036,2,138,135,PZ
213,107,421,61,146,1036,2,138,136,PZ
338,58,336,40,118,892,2,138,137,PZ
95,48,89,28,305,581,2,139,116,PZ
101,58,78,33,420,701,2,139,117,PZ
187,97,179,52,293,701,2,139,118,PZ
117,107,70,50,718,943,2,139,128,PZ
159,107,70,50,718,1059,2,139,129,PZ
146,107,70,50,718,1059,2,139,130,PZ
194,97,160,54,340,1059,2,139,131,PZ
265,87,125,48,390,727,2,139,132,PZ
83,87,125,48,390,727,2,139,133,PZ
88,78,39,37,903,727,2,139,134,PZ
154,78,70,37,520,958,2,139,135,PZ
169,78,70,37,520,958,2,139,136,PZ
202,68,125,33,267,1000,2,139,137,PZ
288,48,35,24,706,1000,2,139,138,PZ
119,39,140,25,178,581,2,140,114,PZ
137,48,82,33,403,581,2,140,115,PZ
114,48,82,33,403,581,2,140,116,PZ
91,68,85,40,460,701,2,140,117,PZ
106,136,207,70,336,749,2,140,121,CG
105,136,207,70,336,892,2,140,122,CG
108,126,183,68,374,892,2,140,123,CG
