T2,AUGC,KEP,KTRANS,VE,ADC,z,x,y,zone
81,341,242,117,479,628,3,115,125,PZ
75,351,281,123,436,628,3,115,126,PZ
68,351,281,123,436,757,3,115,127,PZ
67,380,394,143,362,757,3,115,128,PZ
69,380,406,140,345,757,3,115,129,PZ
75,380,406,140,345,327,3,115,130,PZ
83,380,457,149,325,327,3,115,131,PZ
80,371,261,132,510,425,3,116,122,PZ
67,351,253,123,484,425,3,116,123,PZ
60,351,253,123,484,425,3,116,124,PZ
71,293,281,112,399,628,3,116,125,PZ
75,244,296,113,379,628,3,116,126,CG
58,244,296,113,379,757,3,116,127,CG
65,380,406,138,341,757,3,116,128,CG
76,410,468,154,328,757,3,116,129,CG
75,410,468,154,328,327,3,116,130,PZ
74,420,523,173,329,327,3,116,131,PZ
83,429,507,175,344,711,3,116,132,PZ
97,429,507,175,344,711,3,116,133,PZ
84,332,320,116,364,594,3,117,120,PZ
78,332,320,116,364,594,3,117,121,PZ
84,361,273,129,476,330,3,117,122,CG
82,351,242,123,508,330,3,117,123,CG
65,351,242,123,508,330,3,117,124,CG
64,293,218,100,457,400,3,117,125,CG
74,293,238,101,421,400,3,117,126,CG
71,293,238,101,421,247,3,117,127,CG
65,361,343,127,372,247,3,117,128,CG
72,410,418,149,357,247,3,117,129,CG
71,410,418,149,357,354,3,117,130,CG
65,507,504,187,370,354,3,117,131,CG
75,488,504,198,391,354,3,117,132,CG
88,488,504,198,391,354,3,117,133,PZ
90,527,453,204,451,354,3,117,134,PZ
103,566,421,200,475,552,3,117,135,PZ
90,312,324,120,368,712,3,118,118,PZ
81,312,328,110,334,594,3,118,119,PZ
78,332,320,116,364,594,3,118,120,CG
80,332,320,116,364,594,3,118,121,CG
75,361,273,129,476,330,3,118,122,CG
71,351,242,123,508,330,3,118,123,CG
66,351,242,123,508,330,3,118,124,CG
58,293,218,100,457,400,3,118,125,CG
63,293,238,101,421,400,3,118,126,CG
72,293,238,101,421,247,3,118,127,CG
64,361,343,127,372,247,3,118,128,CG
68,410,418,149,357,247,3,118,129,CG
72,410,418,149,357,354,3,118,130,CG
68,507,504,187,370,354,3,118,131,CG
79,488,504,198,391,354,3,118,132,CG
95,488,504,198,391,354,3,118,133,CG
105,527,453,204,451,354,3,118,134,PZ
116,566,421,200,475,552,3,118,135,PZ
137,566,421,200,475,552,3,118,136,PZ
85,371,343,129,379,712,3,119,117,PZ
78,361,339,126,372,712,3,119,118,PZ
80,380,421,140,334,594,3,119,119,CG
84,371,449,145,322,594,3,119,120,CG
81,371,449,145,322,594,3,119,121,CG
79,322,308,120,389,330,3,119,122,CG
71,293,253,106,418,330,3,119,123,CG
61,293,253,106,418,330,3,119,124,CG
63,273,253,97,380,400,3,119,125,CG
61,283,308,102,334,400,3,119,126,CG
66,283,308,102,334,247,3,119,127,CG
70,341,433,124,287,247,3,119,128,CG
73,380,570,152,266,247,3,119,129,CG
84,380,570,152,266,354,3,119,130,CG
86,517,660,208,313,354,3,119,131,CG
74,576,629,229,363,354,3,119,132,CG
74,576,629,229,363,354,3,119,133,CG
