T2,AUGC,KEP,KTRANS,VE,ADC,z,x,y,zone
94,107,152,36,236,715,3,121,123,PZ
92,87,74,27,357,715,3,121,124,PZ
81,87,82,27,324,673,3,121,126,PZ
81,87,78,26,337,673,3,121,127,PZ
82,78,50,24,484,270,3,121,128,PZ
96,58,265,39,148,783,3,122,120,PZ
85,126,214,43,205,783,3,122,121,PZ
98,126,214,43,205,783,3,122,122,PZ
93,126,160,42,261,715,3,122,123,PZ
79,97,70,30,416,715,3,122,124,PZ
77,97,70,30,416,715,3,122,125,PZ
73,87,97,30,317,673,3,122,126,PZ
74,97,121,31,252,673,3,122,127,CG
75,87,105,29,281,270,3,122,128,CG
66,87,105,29,281,270,3,122,129,CG
71,78,23,24,948,270,3,122,130,CG
71,78,11,24,1932,557,3,122,131,CG
70,78,11,24,1932,557,3,122,132,CG
73,97,54,32,568,453,3,122,133,CG
69,107,117,39,337,453,3,122,134,PZ
74,107,117,39,337,453,3,122,135,PZ
87,146,230,54,234,810,3,122,136,PZ
97,58,265,39,148,1104,3,123,119,PZ
111,58,265,39,148,712,3,123,120,PZ
103,126,214,43,205,712,3,123,121,PZ
95,126,214,43,205,712,3,123,122,PZ
90,126,160,42,261,479,3,123,123,PZ
83,97,70,30,416,479,3,123,124,PZ
74,97,70,30,416,479,3,123,125,PZ
73,87,97,30,317,590,3,123,126,CG
76,97,121,31,252,590,3,123,127,CG
66,87,105,29,281,517,3,123,128,CG
65,87,105,29,281,517,3,123,129,CG
73,78,23,24,948,517,3,123,130,CG
69,78,11,24,1932,313,3,123,131,CG
67,78,11,24,1932,313,3,123,132,CG
68,97,54,32,568,448,3,123,133,CG
71,107,117,39,337,448,3,123,134,CG
79,107,117,39,337,448,3,123,135,CG
91,146,230,54,234,727,3,123,136,PZ
100,175,285,61,214,727,3,123,137,PZ
103,175,285,61,214,471,3,123,138,PZ
109,117,238,61,258,471,3,123,139,PZ
92,107,257,38,148,1104,3,124,118,PZ
109,58,265,39,148,1104,3,124,119,PZ
144,58,265,39,148,712,3,124,120,PZ
122,126,214,43,205,712,3,124,121,PZ
97,126,214,43,205,712,3,124,122,PZ
90,126,160,42,261,479,3,124,123,PZ
79,97,70,30,416,479,3,124,124,PZ
69,97,70,30,416,479,3,124,125,CG
65,87,97,30,317,590,3,124,126,CG
62,97,121,31,252,590,3,124,127,CG
57,87,105,29,281,517,3,124,128,CG
55,87,105,29,281,517,3,124,129,CG
56,78,23,24,948,517,3,124,130,CG
59,78,11,24,1932,313,3,124,131,CG
63,78,11,24,1932,313,3,124,132,CG
68,97,54,32,568,448,3,124,133,CG
75,107,117,39,337,448,3,124,134,CG
70,107,117,39,337,448,3,124,135,CG
71,146,230,54,234,727,3,124,136,CG
88,175,285,61,214,727,3,124,137,PZ
84,175,285,61,214,471,3,124,138,PZ
81,117,238,61,258,471,3,124,139,PZ
108,117,218,62,284,471,3,124,140,PZ
121,117,218,62,284,457,3,124,141,PZ
110,195,257,72,279,774,3,125,116,PZ
107,107,273,67,245,774,3,125,117,PZ
94,107,273,67,245,995,3,125,118,PZ
95,107,70,43,617,995,3,125,119,PZ
115,107,70,43,617,726,3,125,120,PZ
121,185,285,63,225,726,3,125,121,PZ
