T2,AUGC,KEP,KTRANS,VE,ADC,z,x,y,zone
69,224,343,115,335,704,4,126,127,CG
71,224,347,120,343,619,4,126,128,CG
61,224,343,118,343,619,4,126,129,CG
45,224,343,118,343,651,4,126,130,CG
43,205,324,108,333,651,4,126,131,CG
59,185,328,99,301,651,4,126,132,CG
75,185,328,99,301,656,4,126,133,CG
73,205,355,104,293,656,4,126,134,CG
65,224,351,116,330,1012,4,126,135,CG
60,214,371,112,302,704,4,127,126,CG
50,224,398,120,302,704,4,127,127,CG
46,224,414,122,294,619,4,127,128,CG
47,224,410,123,298,619,4,127,129,CG
40,224,410,123,298,651,4,127,130,CG
38,244,394,129,329,651,4,127,131,CG
46,224,394,122,307,651,4,127,132,CG
63,224,394,122,307,656,4,127,133,CG
66,214,433,112,258,656,4,127,134,CG
62,214,457,113,248,1012,4,127,135,CG
71,214,457,113,248,1012,4,127,136,CG
76,234,464,126,273,1012,4,127,137,CG
61,175,316,88,281,902,4,128,124,CG
54,214,371,112,302,625,4,128,125,CG
65,214,371,112,302,625,4,128,126,CG
74,224,398,120,302,625,4,128,127,CG
61,224,414,122,294,524,4,128,128,CG
49,224,410,123,298,524,4,128,129,CG
46,224,410,123,298,585,4,128,130,CG
46,244,394,129,329,585,4,128,131,CG
60,224,394,122,307,585,4,128,132,CG
63,224,394,122,307,680,4,128,133,CG
55,214,433,112,258,680,4,128,134,CG
72,214,457,113,248,667,4,128,135,CG
94,214,457,113,248,667,4,128,136,CG
83,234,464,126,273,667,4,128,137,CG
77,234,421,127,301,945,4,128,138,CG
88,136,230,75,330,902,4,129,123,CG
82,146,261,81,309,902,4,129,124,CG
55,195,343,105,306,625,4,129,125,CG
60,195,343,105,306,625,4,129,126,CG
77,214,367,113,310,625,4,129,127,CG
58,214,371,114,307,524,4,129,128,CG
56,205,375,111,296,524,4,129,129,CG
56,205,375,111,296,585,4,129,130,CG
47,224,414,126,305,585,4,129,131,CG
54,253,437,142,323,585,4,129,132,CG
63,253,437,142,323,680,4,129,133,CG
71,253,461,141,307,680,4,129,134,CG
88,214,464,121,261,667,4,129,135,CG
88,214,464,121,261,667,4,129,136,CG
79,185,488,98,203,667,4,129,137,CG
75,185,504,102,202,945,4,129,138,CG
77,185,504,102,202,945,4,129,139,CG
103,136,230,75,330,1708,4,130,121,PZ
117,136,230,75,330,850,4,130,122,CG
105,136,230,75,330,850,4,130,123,CG
74,146,261,81,309,850,4,130,124,CG
49,195,343,105,306,781,4,130,125,CG
58,195,343,105,306,781,4,130,126,CG
74,214,367,113,310,781,4,130,127,CG
67,214,371,114,307,870,4,130,128,CG
67,205,375,111,296,870,4,130,129,CG
69,205,375,111,296,605,4,130,130,CG
59,224,414,126,305,605,4,130,131,CG
53,253,437,142,323,605,4,130,132,CG
58,253,437,142,323,785,4,130,133,CG
74,253,461,141,307,785,4,130,134,CG
69,214,464,121,261,707,4,130,135,CG
78,214,464,121,261,707,4,130,136,CG
96,185,488,98,203,707,4,130,137,CG
89,185,504,102,202,906,4,130,138,CG
81,185,504,102,202,906,4,130,139,CG
91,195,492,107,218,1116,4,130,140,CG
94,185,461,99,214,1116,4,130,141,PZ
116,175,226,97,426,1708,4,131,120,PZ
134,156,238,87,367,1708,4,131,121,PZ
115,156,238,87,367,850,4,131,122,CG
74,156,238,87,367,850,4,131,123,CG
63,166,261,91,346,850,4,131,124,CG
60,195,320,106,331,781,4,131,125,CG
69,195,320,106,331,781,4,131,126,CG
84,205,328,112,340,781,4,131,127,CG
107,195,308,104,338,870,4,131,128,CG
107,185,300,100,333,870,4,131,129,CG
79,185,300,100,333,605,4,131,130,CG
67,195,343,108,311,605,4,131,131,CG
71,224,386,122,316,605,4,131,132,CG
72,224,386,122,316,785,4,131,133,CG
80,253,457,144,315,785,4,131,134,CG
69,234,457,134,293,707,4,131,135,CG
82,234,457,134,293,707,4,131,136,CG
122,185,433,102,237,707,4,131,137,CG
89,185,433,102,235,906,4,131,138,CG
74,185,433,102,235,906,4,131,139,CG
97,195,453,104,230,1116,4,131,140,CG
89,185,461,100,217,1116,4,131,141,PZ
97,185,461,100,217,1116,4,131,142,PZ
103,136,457,75,164,1019,4,131,143,PZ
93,185,218,99,452,1364,4,132,119,PZ
130,175,226,97,426,1708,4,132,120,PZ
155,156,238,87,367,1708,4,132,121,CG
103,156,238,87,367,850,4,132,122,CG
72,156,238,87,367,850,4,132,123,CG
67,166,261,91,346,850,4,132,124,CG
61,195,320,106,331,781,4,132,125,CG
67,195,320,106,331,781,4,132,126,CG
66,205,328,112,340,781,4,132,127,CG
67,195,308,104,338,870,4,132,128,CG
69,185,300,100,333,870,4,132,129,CG
66,185,300,100,333,605,4,132,130,CG
64,195,343,108,311,605,4,132,131,CG
70,224,386,122,316,605,4,132,132,CG
77,224,386,122,316,785,4,132,133,CG
82,253,457,144,315,785,4,132,134,CG
78,234,457,134,293,707,4,132,135,CG
75,234,457,134,293,707,4,132,136,CG
99,185,433,102,237,707,4,132,137,CG
93,185,433,102,235,906,4,132,138,CG
72,185,433,102,235,906,4,132,139,CG
78,195,453,104,230,1116,4,132,140,CG
77,185,461,100,217,1116,4,132,141,CG
90,185,461,100,217,1116,4,132,142,PZ
109,136,457,75,164,1019,4,132,143,PZ
102,117,421,65,156,1019,4,132,144,PZ
123,146,199,84,426,1744,4,133,119,PZ
140,156,210,90,429,1503,4,133,120,PZ
147,175,218,93,423,1503,4,133,121,CG
101,175,218,93,423,521,4,133,122,CG
68,175,218,93,423,521,4,133,123,CG
69,175,226,92,409,521,4,133,124,CG
73,175,257,92,359,765,4,133,125,CG
89,175,257,92,359,765,4,133,126,CG
87,175,265,90,342,765,4,133,127,CG
60,166,242,84,350,665,4,133,128,CG
56,166,214,85,395,665,4,133,129,CG
51,166,214,85,395,848,4,133,130,CG
58,185,199,98,494,848,4,133,131,CG
88,205,234,110,467,848,4,133,132,CG
95,205,234,110,467,968,4,133,133,CG
80,224,375,124,328,968,4,133,134,CG
73,214,441,124,278,851,4,133,135,CG
74,214,441,124,278,851,4,133,136,CG
109,195,480,107,223,851,4,133,137,CG
127,185,445,101,227,986,4,133,138,CG
91,185,445,101,227,986,4,133,139,CG
73,185,406,101,250,1094,4,133,140,CG
72,185,433,103,239,1094,4,133,141,CG
89,185,433,103,239,1094,4,133,142,CG
101,166,472,93,199,1060,4,133,143,PZ
90,136,433,80,185,1060,4,133,144,PZ
113,136,433,80,185,1060,4,133,145,PZ
121,146,199,85,429,1744,4,134,118,PZ
141,146,199,85,429,1744,4,134,119,PZ
139,156,199,90,449,1503,4,134,120,PZ
121,175,230,97,425,1503,4,134,121,CG
71,175,230,97,425,521,4,134,122,CG
73,175,230,97,425,521,4,134,123,CG
83,185,250,100,399,521,4,134,124,CG
70,195,285,101,355,765,4,134,125,CG
80,195,285,101,355,765,4,134,126,CG
72,185,300,96,319,765,4,134,127,CG
54,175,308,92,300,665,4,134,128,CG
68,175,281,93,329,665,4,134,129,CG
56,175,281,93,329,848,4,134,130,CG
65,205,207,108,523,848,4,134,131,CG
88,224,191,118,612,848,4,134,132,CG
70,224,191,118,612,968,4,134,133,CG
87,234,296,126,424,968,4,134,134,CG
101,224,375,123,324,851,4,134,135,CG
72,224,375,123,324,851,4,134,136,CG
87,195,492,112,228,851,4,134,137,CG
110,185,492,105,214,986,4,134,138,CG
93,185,492,105,214,986,4,134,139,CG
92,175,457,99,219,1094,4,134,140,CG
90,185,461,102,222,1094,4,134,141,CG
89,185,461,102,222,1094,4,134,142,CG
100,166,476,97,205,1060,4,134,143,PZ
98,156,453,88,196,1060,4,134,144,PZ
112,156,453,88,196,1060,4,134,145,PZ
141,156,453,88,196,1447,4,134,146,PZ
149,146,199,85,429,1744,4,135,118,PZ
143,146,199,85,429,1744,4,135,119,PZ
156,156,199,90,449,1503,4,135,120,CG
106,175,230,97,425,1503,4,135,121,CG
58,175,230,97,425,521,4,135,122,CG
65,175,230,97,425,521,4,135,123,CG
54,185,250,100,399,521,4,135,124,CG
55,195,285,101,355,765,4,135,125,CG
89,195,285,101,355,765,4,135,126,CG
71,185,300,96,319,765,4,135,127,CG
58,175,308,92,300,665,4,135,128,CG
58,175,281,93,329,665,4,135,129,CG
72,175,281,93,329,848,4,135,130,CG
92,205,207,108,523,848,4,135,131,CG
68,224,191,118,612,848,4,135,132,CG
42,224,191,118,612,968,4,135,133,CG
72,234,296,126,424,968,4,135,134,CG
92,224,375,123,324,851,4,135,135,CG
69,224,375,123,324,851,4,135,136,CG
92,195,492,112,228,851,4,135,137,CG
118,185,492,105,214,986,4,135,138,CG
91,185,492,105,214,986,4,135,139,CG
89,175,457,99,219,1094,4,135,140,CG
89,185,461,102,222,1094,4,135,141,CG
85,185,461,102,222,1094,4,135,142,CG
100,166,476,97,205,1060,4,135,143,PZ
111,156,453,88,196,1060,4,135,144,PZ
137,156,453,88,196,1060,4,135,145,PZ
153,156,453,88,196,1447,4,135,146,PZ
150,117,351,70,199,1447,4,135,147,PZ
157,126,203,75,371,1800,4,136,117,PZ
189,175,242,105,433,1800,4,136,118,PZ
152,175,242,105,433,1800,4,136,119,PZ
139,214,250,123,492,1003,4,136,120,CG
102,244,277,138,496,1003,4,136,121,CG
75,244,277,138,496,704,4,136,122,CG
70,244,277,138,496,704,4,136,123,CG
58,253,304,142,462,704,4,136,124,CG
74,244,320,136,424,851,4,136,125,CG
97,244,320,136,424,851,4,136,126,CG
86,234,304,128,420,851,4,136,127,CG
78,205,289,110,379,831,4,136,128,CG
61,195,300,107,354,831,4,136,129,CG
79,195,300,107,354,1005,4,136,130,CG
107,205,285,107,378,1005,4,136,131,CG
74,205,250,108,434,1005,4,136,132,CG
