T2,AUGC,KEP,KTRANS,VE,ADC,z,x,y,zone
83,556,480,224,466,593,4,123,134,CG
80,556,480,224,466,593,4,123,135,CG
86,654,453,253,560,790,4,124,130,CG
84,654,453,253,560,790,4,124,131,CG
77,654,453,253,560,790,4,124,132,CG
74,654,453,253,560,593,4,124,133,CG
82,664,609,261,430,593,4,124,134,CG
74,664,609,261,430,593,4,124,135,CG
76,595,511,248,482,981,4,124,136,CG
78,595,511,248,482,981,4,124,137,CG
68,595,511,248,482,1193,4,124,138,CG
101,654,652,267,409,685,4,125,129,CG
92,654,453,253,560,768,4,125,130,CG
77,654,453,253,560,768,4,125,131,CG
62,654,453,253,560,768,4,125,132,CG
59,654,453,253,560,584,4,125,133,CG
64,664,609,261,430,584,4,125,134,CG
65,664,609,261,430,584,4,125,135,CG
66,595,511,248,482,802,4,125,136,CG
66,595,511,248,482,802,4,125,137,CG
68,595,511,248,482,1275,4,125,138,CG
83,595,511,248,482,1275,4,125,139,CG
97,595,511,248,482,1275,4,125,140,CG
157,527,687,220,320,922,4,126,126,PZ
130,527,687,220,320,922,4,126,127,PZ
102,654,652,267,409,685,4,126,128,CG
89,654,652,267,409,685,4,126,129,CG
80,654,453,253,560,768,4,126,130,CG
62,654,453,253,560,768,4,126,131,CG
57,654,453,253,560,768,4,126,132,CG
65,654,453,253,560,584,4,126,133,CG
61,664,609,261,430,584,4,126,134,CG
64,664,609,261,430,584,4,126,135,CG
67,595,511,248,482,802,4,126,136,CG
61,595,511,248,482,802,4,126,137,CG
64,595,511,248,482,1275,4,126,138,CG
73,595,511,248,482,1275,4,126,139,CG
84,595,511,248,482,1275,4,126,140,CG
91,586,336,210,620,1133,4,126,141,CG
119,527,687,220,320,889,4,127,125,PZ
124,527,687,220,320,889,4,127,126,PZ
117,527,687,220,320,889,4,127,127,CG
86,654,652,267,409,756,4,127,128,CG
59,654,652,267,409,756,4,127,129,CG
57,654,453,253,560,545,4,127,130,CG
62,654,453,253,560,768,4,127,131,CG
68,654,453,253,560,768,4,127,132,CG
72,654,453,253,560,584,4,127,133,CG
59,664,609,261,430,584,4,127,134,CG
57,664,609,261,430,584,4,127,135,CG
67,595,511,248,482,802,4,127,136,CG
71,595,511,248,482,802,4,127,137,CG
68,595,511,248,482,1275,4,127,138,CG
60,595,511,248,482,1275,4,127,139,CG
65,595,511,248,482,1275,4,127,140,CG
82,586,336,210,620,1133,4,127,141,CG
92,586,336,210,620,1133,4,127,142,CG
124,840,1000,408,407,826,4,128,123,PZ
109,927,1113,459,411,826,4,128,124,PZ
105,927,1113,459,411,889,4,128,125,PZ
107,927,1113,459,411,889,4,128,126,PZ
91,927,1113,459,411,889,4,128,127,CG
71,478,171,179,1031,756,4,128,128,CG
57,478,171,179,1031,756,4,128,129,CG
55,468,113,153,1341,545,4,128,130,CG
67,468,113,153,1341,545,4,128,131,CG
67,468,113,153,1341,545,4,128,132,CG
60,468,113,153,1341,648,4,128,133,CG
62,410,156,184,1182,648,4,128,134,CG
66,410,156,184,1182,812,4,128,135,CG
74,791,367,278,755,812,4,128,136,CG
86,791,367,278,755,812,4,128,137,CG
87,791,367,278,755,1114,4,128,138,CG
76,791,367,278,755,1114,4,128,139,CG
74,791,367,278,755,1114,4,128,140,CG
70,576,160,187,1159,1172,4,128,141,CG
72,576,160,187,1159,1172,4,128,142,CG
88,595,175,204,1140,976,4,128,143,CG
130,840,1000,408,407,1105,4,129,122,PZ
138,840,1000,408,407,826,4,129,123,PZ
129,927,1113,459,411,826,4,129,124,PZ
115,927,1113,459,411,889,4,129,125,PZ
104,927,1113,459,411,889,4,129,126,PZ
74,927,1113,459,411,889,4,129,127,CG
60,478,171,179,1031,756,4,129,128,CG
61,478,171,179,1031,756,4,129,129,CG
61,468,113,153,1341,545,4,129,130,CG
67,468,113,153,1341,545,4,129,131,CG
74,468,113,153,1341,545,4,129,132,CG
75,468,113,153,1341,648,4,129,133,CG
74,410,156,184,1182,648,4,129,134,CG
63,410,156,184,1182,812,4,129,135,CG
68,791,367,278,755,812,4,129,136,CG
93,791,367,278,755,812,4,129,137,CG
104,791,367,278,755,1114,4,129,138,CG
95,791,367,278,755,1114,4,129,139,CG
88,791,367,278,755,1114,4,129,140,CG
69,576,160,187,1159,1172,4,129,141,CG
61,576,160,187,1159,1172,4,129,142,CG
78,595,175,204,1140,976,4,129,143,CG
93,595,175,204,1140,976,4,129,144,PZ
132,634,93,205,174,1221,4,130,120,PZ
136,634,93,205,174,1221,4,130,121,PZ
131,791,660,337,509,1221,4,130,122,PZ
125,791,660,337,509,1216,4,130,123,PZ
128,654,531,273,513,1216,4,130,124,PZ
137,654,531,273,513,1416,4,130,125,PZ
120,654,531,273,513,1416,4,130,126,CG
84,654,531,273,513,1416,4,130,127,CG
66,429,109,146,1333,886,4,130,128,CG
58,429,109,146,1333,886,4,130,129,CG
59,605,351,199,566,658,4,130,130,CG
68,605,351,199,566,658,4,130,131,CG
74,605,351,199,566,658,4,130,132,CG
74,605,351,199,566,572,4,130,133,CG
70,605,238,204,856,572,4,130,134,CG
64,605,238,204,856,820,4,130,135,CG
69,664,332,222,668,820,4,130,136,CG
78,664,332,222,668,820,4,130,137,CG
79,664,332,222,668,1003,4,130,138,CG
79,664,332,222,668,1003,4,130,139,CG
73,664,332,222,668,1003,4,130,140,CG
64,566,222,192,858,1172,4,130,141,CG
64,566,222,192,858,1172,4,130,142,CG
71,527,195,171,864,976,4,130,143,CG
84,527,195,171,864,976,4,130,144,PZ
106,527,195,171,864,976,4,130,145,PZ
