T2,AUGC,KEP,KTRANS,VE,ADC,z,x,y,zone
136,0,0,0,0,1134,3,120,118,PZ
118,547,1031,342,331,1134,3,120,119,PZ
151,547,1031,342,331,1134,3,120,120,PZ
147,547,1031,342,331,1194,3,120,121,PZ
127,547,1031,342,331,1194,3,120,122,PZ
129,517,933,322,344,1222,3,120,123,PZ
127,517,933,322,344,1222,3,120,124,PZ
111,507,500,286,572,1222,3,120,125,PZ
107,507,500,286,572,893,3,120,126,PZ
100,507,500,286,572,893,3,120,127,PZ
100,0,0,0,0,723,3,121,114,PZ
136,0,0,0,0,723,3,121,115,PZ
197,0,0,0,0,1341,3,121,116,PZ
308,693,1340,463,344,1341,3,121,117,PZ
231,693,1340,463,344,1134,3,121,118,PZ
173,781,1179,512,433,1134,3,121,119,PZ
189,781,1179,512,433,1134,3,121,120,PZ
149,781,1179,512,433,1194,3,121,121,PZ
98,781,1179,512,433,1194,3,121,122,CG
101,683,687,413,601,1222,3,121,123,CG
110,683,687,413,601,1222,3,121,124,CG
88,439,437,251,570,1222,3,121,125,CG
84,439,437,251,570,893,3,121,126,CG
79,439,437,251,570,893,3,121,127,CG
68,547,589,323,546,404,3,121,130,CG
88,644,1113,408,366,1033,3,122,113,PZ
131,0,0,0,0,1033,3,122,114,PZ
201,0,0,0,0,1033,3,122,115,PZ
138,0,0,0,0,1608,3,122,116,PZ
136,693,1340,463,344,1608,3,122,117,PZ
279,693,1340,463,344,1476,3,122,118,PZ
213,781,1179,512,433,1476,3,122,119,CG
130,781,1179,512,433,1476,3,122,120,CG
184,781,1179,512,433,1281,3,122,121,CG
157,781,1179,512,433,1281,3,122,122,CG
97,683,687,413,601,1238,3,122,123,CG
100,683,687,413,601,1238,3,122,124,CG
113,439,437,251,570,1238,3,122,125,CG
84,439,437,251,570,839,3,122,126,CG
74,439,437,251,570,839,3,122,127,CG
79,439,363,259,711,418,3,122,128,CG
93,439,363,259,711,418,3,122,129,CG
105,547,589,323,546,418,3,122,130,CG
100,547,589,323,546,620,3,122,131,CG
86,547,589,323,546,620,3,122,132,PZ
