T2,AUGC,KEP,KTRANS,VE,ADC,z,x,y,zone
70,175,113,53,467,1131,3,121,125,CG
67,185,136,58,421,1131,3,121,126,CG
72,214,117,66,559,1123,3,121,127,CG
66,214,89,64,700,1123,3,121,128,CG
54,214,89,64,700,1223,3,121,129,CG
57,107,0,40,0,1223,3,121,130,CG
62,97,54,47,869,1223,3,121,131,CG
61,97,54,47,869,952,3,121,132,CG
67,146,117,46,399,952,3,121,133,CG
75,185,160,60,369,827,3,122,123,CG
66,224,179,69,386,1131,3,122,124,CG
72,224,179,69,386,1131,3,122,125,CG
66,234,203,73,358,1131,3,122,126,CG
65,283,226,91,403,1123,3,122,127,CG
64,302,207,93,455,1123,3,122,128,CG
62,302,207,93,455,1223,3,122,129,CG
66,263,152,78,515,1223,3,122,130,CG
68,175,89,61,661,1223,3,122,131,CG
64,175,89,61,661,952,3,122,132,CG
65,156,97,47,485,952,3,122,133,CG
61,136,125,43,350,747,3,122,134,CG
61,136,125,43,350,747,3,122,135,CG
66,166,140,50,364,1067,3,123,122,CG
63,185,160,60,369,1067,3,123,123,CG
80,224,179,69,386,1363,3,123,124,CG
115,224,179,69,386,1363,3,123,125,CG
91,234,203,73,358,1363,3,123,126,CG
72,283,226,91,403,1116,3,123,127,CG
72,302,207,93,455,1116,3,123,128,CG
71,302,207,93,455,1317,3,123,129,CG
69,263,152,78,515,1317,3,123,130,CG
72,175,89,61,661,1317,3,123,131,CG
63,175,89,61,661,1133,3,123,132,CG
50,156,97,47,485,1133,3,123,133,CG
50,136,125,43,350,1257,3,123,134,CG
63,136,125,43,350,1257,3,123,135,CG
70,136,125,43,350,1257,3,123,136,CG
58,166,140,50,364,1067,3,124,121,CG
68,166,140,50,364,1067,3,124,122,CG
82,185,160,60,369,1067,3,124,123,CG
92,224,179,69,386,1363,3,124,124,CG
90,224,179,69,386,1363,3,124,125,CG
87,234,203,73,358,1363,3,124,126,CG
81,283,226,91,403,1116,3,124,127,CG
89,302,207,93,455,1116,3,124,128,CG
105,302,207,93,455,1317,3,124,129,CG
100,263,152,78,515,1317,3,124,130,CG
88,175,89,61,661,1317,3,124,131,CG
63,175,89,61,661,1133,3,124,132,CG
57,156,97,47,485,1133,3,124,133,CG
69,136,125,43,350,1257,3,124,134,CG
62,136,125,43,350,1257,3,124,135,CG
63,136,125,43,350,1257,3,124,136,CG
73,97,156,35,228,1466,3,124,137,CG
61,126,125,40,322,908,3,125,120,CG
89,175,222,60,268,1067,3,125,121,CG
103,175,222,60,268,1067,3,125,122,CG
98,214,261,75,285,1067,3,125,123,CG
105,273,250,91,365,1363,3,125,124,CG
100,273,250,91,365,1363,3,125,125,CG
98,263,218,90,409,1363,3,125,126,CG
83,293,238,99,416,1116,3,125,127,CG
91,322,308,120,386,1116,3,125,128,CG
140,322,308,120,386,1317,3,125,129,CG
129,390,332,132,401,1317,3,125,130,CG
127,371,308,124,403,1317,3,125,131,CG
103,371,308,124,403,1133,3,125,132,CG
83,244,195,84,437,1133,3,125,133,CG
111,195,140,64,451,1257,3,125,134,CG
95,195,140,64,451,1257,3,125,135,CG
102,195,140,64,451,1257,3,125,136,CG
131,117,101,38,378,1466,3,125,137,CG
79,126,101,41,396,1397,3,126,119,CG
100,136,136,45,333,1397,3,126,120,CG
145,205,269,72,267,1393,3,126,121,CG
135,205,269,72,267,1393,3,126,122,CG
108,244,277,84,301,1393,3,126,123,CG
101,273,293,101,349,1009,3,126,124,CG
107,273,293,101,349,1009,3,126,125,CG
109,273,226,91,407,1009,3,126,126,CG
91,273,207,94,459,784,3,126,127,CG
88,302,242,108,445,784,3,126,128,CG
112,302,242,108,445,899,3,126,129,CG
105,380,304,131,432,899,3,126,130,CG
109,390,300,131,441,899,3,126,131,CG
118,390,300,131,441,923,3,126,132,CG
76,332,242,107,443,923,3,126,133,CG
75,244,183,84,454,1260,3,126,134,CG
148,244,183,84,454,1260,3,126,135,CG
162,244,183,84,454,1260,3,126,136,CG
147,146,85,46,535,1486,3,126,137,CG
105,107,46,35,734,1486,3,126,138,CG
97,126,101,41,396,1397,3,127,119,CG
153,136,136,45,333,1397,3,127,120,CG
166,205,269,72,267,1393,3,127,121,CG
120,205,269,72,267,1393,3,127,122,CG
86,244,277,84,301,1393,3,127,123,CG
71,273,293,101,349,1009,3,127,124,CG
70,273,293,101,349,1009,3,127,125,CG
70,273,226,91,407,1009,3,127,126,CG
81,273,207,94,459,784,3,127,127,CG
84,302,242,108,445,784,3,127,128,CG
98,302,242,108,445,899,3,127,129,CG
103,380,304,131,432,899,3,127,130,CG
82,390,300,131,441,899,3,127,131,CG
103,390,300,131,441,923,3,127,132,CG
101,332,242,107,443,923,3,127,133,CG
84,244,183,84,454,1260,3,127,134,CG
121,244,183,84,454,1260,3,127,135,CG
119,244,183,84,454,1260,3,127,136,CG
113,146,85,46,535,1486,3,127,137,CG
107,107,46,35,734,1486,3,127,138,CG
102,126,27,34,1115,1033,3,128,118,CG
164,126,27,34,1115,1683,3,128,119,CG
232,156,203,51,251,1683,3,128,120,CG
183,244,308,84,274,1283,3,128,121,CG
121,244,308,84,274,1283,3,128,122,CG
82,302,320,106,331,1283,3,128,123,CG
84,263,234,112,473,643,3,128,124,CG
75,263,234,112,473,643,3,128,125,CG
63,244,125,88,706,643,3,128,126,CG
80,263,148,94,630,928,3,128,127,CG
72,195,66,84,1252,928,3,128,128,CG
59,195,66,84,1252,770,3,128,129,CG
70,341,234,127,546,770,3,128,130,CG
78,332,183,112,606,770,3,128,131,CG
92,332,183,112,606,901,3,128,132,CG
100,263,203,98,486,901,3,128,133,CG
91,185,195,86,446,1043,3,128,134,CG
79,185,195,86,446,1043,3,128,135,CG
91,185,195,86,446,1043,3,128,136,CG
138,166,230,71,307,1146,3,128,137,CG
101,166,171,55,321,1146,3,128,138,CG
79,166,171,55,321,1180,3,128,139,CG
103,136,140,44,318,1033,3,129,118,CG
161,136,140,44,318,1683,3,129,119,CG
210,156,187,53,281,1683,3,129,120,CG
172,234,304,85,282,1283,3,129,121,CG
121,234,304,85,282,1283,3,129,122,CG
81,283,312,105,336,1283,3,129,123,CG
73,322,214,112,523,643,3,129,124,CG
63,322,214,112,523,643,3,129,125,CG
46,253,117,94,788,643,3,129,126,CG
58,273,125,92,744,928,3,129,127,CG
87,195,203,112,548,928,3,129,128,CG
75,195,203,112,548,770,3,129,129,CG
61,341,187,119,627,770,3,129,130,CG
66,332,168,115,676,770,3,129,131,CG
77,332,168,115,676,901,3,129,132,CG
82,293,168,99,586,901,3,129,133,CG
96,185,183,89,488,1043,3,129,134,CG
94,185,183,89,488,1043,3,129,135,CG
96,185,183,89,488,1043,3,129,136,CG
121,214,246,77,311,1146,3,129,137,CG
94,185,113,53,466,1146,3,129,138,CG
95,185,113,53,466,1180,3,129,139,CG
116,136,140,44,318,1033,3,130,118,CG
118,136,140,44,318,1683,3,130,119,CG
134,156,187,53,281,1683,3,130,120,CG
126,234,304,85,282,1283,3,130,121,CG
94,234,304,85,282,1283,3,130,122,CG
71,283,312,105,336,1283,3,130,123,CG
65,322,214,112,523,643,3,130,124,CG
80,322,214,112,523,643,3,130,125,CG
73,253,117,94,788,643,3,130,126,CG
57,273,125,92,744,928,3,130,127,CG
80,195,203,112,548,928,3,130,128,CG
85,195,203,112,548,770,3,130,129,CG
72,341,187,119,627,770,3,130,130,CG
62,332,168,115,676,770,3,130,131,CG
61,332,168,115,676,901,3,130,132,CG
76,293,168,99,586,901,3,130,133,CG
89,185,183,89,488,1043,3,130,134,CG
87,185,183,89,488,1043,3,130,135,CG
91,185,183,89,488,1043,3,130,136,CG
103,214,246,77,311,1146,3,130,137,CG
93,185,113,53,466,1146,3,130,138,CG
99,185,113,53,466,1180,3,130,139,CG
105,126,50,40,771,1112,3,131,118,CG
87,126,50,40,771,1251,3,131,119,CG
86,156,85,50,586,1251,3,131,120,CG
95,244,175,81,461,997,3,131,121,CG
79,244,175,81,461,997,3,131,122,CG
78,253,152,84,554,997,3,131,123,CG
71,283,136,92,669,939,3,131,124,CG
67,283,136,92,669,939,3,131,125,CG
83,283,152,104,678,939,3,131,126,CG
76,293,93,102,1052,1131,3,131,127,CG
71,302,117,107,893,1131,3,131,128,CG
69,302,117,107,893,1177,3,131,129,CG
77,293,144,110,752,1177,3,131,130,CG
84,312,132,108,802,1177,3,131,131,CG
68,312,132,108,802,1064,3,131,132,CG
71,273,156,107,692,1064,3,131,133,CG
84,273,136,94,683,1152,3,131,134,CG
75,273,136,94,683,1152,3,131,135,CG
99,273,136,94,683,1152,3,131,136,CG
134,205,125,73,582,1060,3,131,137,CG
92,175,121,63,518,1060,3,131,138,CG
72,175,121,63,518,912,3,131,139,CG
82,107,0,27,0,1112,3,132,117,PZ
72,126,58,39,679,1112,3,132,118,CG
63,126,58,39,679,1251,3,132,119,CG
63,136,117,50,433,1251,3,132,120,CG
70,156,35,61,1726,997,3,132,121,CG
70,156,35,61,1726,997,3,132,122,CG
81,195,27,66,185,997,3,132,123,CG
80,263,125,89,720,939,3,132,124,CG
69,263,125,89,720,939,3,132,125,CG
92,273,140,98,695,939,3,132,126,CG
92,302,179,127,699,1131,3,132,127,CG
70,380,175,132,744,1131,3,132,128,CG
72,380,175,132,744,1177,3,132,129,CG
81,351,175,123,693,1177,3,132,130,CG
86,293,171,112,643,1177,3,132,131,CG
79,293,171,112,643,1064,3,132,132,CG
76,224,97,82,837,1064,3,132,133,CG
82,117,66,70,1031,1152,3,132,134,CG
75,117,66,70,1031,1152,3,132,135,CG
87,117,66,70,1031,1152,3,132,136,CG
102,166,58,61,1048,1060,3,132,137,CG
83,175,46,54,1168,1060,3,132,138,CG
107,175,46,54,1168,912,3,132,139,CG
95,107,0,27,0,1112,3,133,117,PZ
73,126,58,39,679,1112,3,133,118,CG
59,126,58,39,679,1251,3,133,119,CG
68,136,117,50,433,1251,3,133,120,CG
79,156,35,61,1726,997,3,133,121,CG
75,156,35,61,1726,997,3,133,122,CG
75,195,27,66,185,997,3,133,123,CG
78,263,125,89,720,939,3,133,124,CG
76,263,125,89,720,939,3,133,125,CG
98,273,140,98,695,939,3,133,126,CG
114,302,179,127,699,1131,3,133,127,CG
84,380,175,132,744,1131,3,133,128,CG
75,380,175,132,744,1177,3,133,129,CG
87,351,175,123,693,1177,3,133,130,CG
71,293,171,112,643,1177,3,133,131,CG
56,293,171,112,643,1064,3,133,132,CG
66,224,97,82,837,1064,3,133,133,CG
76,117,66,70,1031,1152,3,133,134,CG
77,117,66,70,1031,1152,3,133,135,CG
85,117,66,70,1031,1152,3,133,136,CG
79,166,58,61,1048,1060,3,133,137,CG
67,175,46,54,1168,1060,3,133,138,CG
85,175,46,54,1168,912,3,133,139,CG
106,107,0,43,0,1185,3,134,116,PZ
93,97,0,37,0,1185,3,134,117,PZ
85,78,0,31,0,1185,3,134,118,PZ
65,78,0,31,0,885,3,134,119,CG
61,87,0,35,0,885,3,134,120,CG
81,175,0,46,0,907,3,134,121,CG
82,175,0,46,0,907,3,134,122,CG
67,214,105,73,696,907,3,134,123,CG
72,312,195,107,549,1061,3,134,124,CG
91,312,195,107,549,1061,3,134,125,CG
91,341,269,128,477,1061,3,134,126,CG
107,380,308,138,447,1019,3,134,127,CG
115,400,343,150,437,1019,3,134,128,CG
103,400,343,150,437,1107,3,134,129,CG
114,468,461,183,397,1107,3,134,130,CG
100,420,441,164,371,1107,3,134,131,CG
72,420,441,164,371,906,3,134,132,CG
61,126,171,77,452,906,3,134,133,CG
65,87,0,36,0,1006,3,134,134,CG
74,87,0,36,0,1006,3,134,135,CG
82,87,0,36,0,1006,3,134,136,CG
76,136,0,46,0,1000,3,134,137,CG
68,136,0,44,0,1000,3,134,138,CG
67,136,0,44,0,1125,3,134,139,CG
