T2,AUGC,KEP,KTRANS,VE,ADC,z,x,y,zone
70,156,296,84,283,1254,3,109,124,CG
59,156,296,84,283,1354,3,109,125,CG
57,156,296,84,283,1354,3,109,126,CG
65,166,312,85,272,1354,3,109,127,CG
74,156,308,82,267,1277,3,109,128,CG
68,156,308,82,267,1277,3,109,129,CG
72,146,273,74,268,1314,3,109,130,CG
68,136,257,68,267,1314,3,109,131,CG
62,136,257,68,267,1314,3,109,132,CG
83,166,281,86,307,1254,3,110,123,CG
65,166,285,88,310,1254,3,110,124,CG
64,166,285,88,310,1354,3,110,125,CG
73,166,285,88,310,1354,3,110,126,CG
79,166,261,85,328,1354,3,110,127,CG
62,156,250,83,333,1277,3,110,128,CG
64,156,250,83,333,1277,3,110,129,CG
75,156,269,81,299,1314,3,110,130,CG
64,146,281,79,280,1314,3,110,131,CG
79,146,281,79,280,1314,3,110,132,CG
95,126,242,63,259,1394,3,110,133,CG
88,107,207,51,252,1394,3,110,134,CG
88,107,207,51,252,1342,3,110,135,CG
106,136,230,71,308,1480,3,111,121,PZ
88,136,230,71,308,1480,3,111,122,PZ
73,166,281,86,307,1143,3,111,123,CG
94,166,285,88,310,1143,3,111,124,CG
109,166,285,88,310,1038,3,111,125,CG
100,166,285,88,310,1038,3,111,126,CG
98,166,261,85,328,1038,3,111,127,CG
90,156,250,83,333,917,3,111,128,CG
90,156,250,83,333,917,3,111,129,CG
100,156,269,81,299,1358,3,111,130,CG
87,146,281,79,280,1358,3,111,131,CG
101,146,281,79,280,1358,3,111,132,CG
102,126,242,63,259,1340,3,111,133,CG
91,107,207,51,252,1340,3,111,134,CG
100,107,207,51,252,1524,3,111,135,PZ
84,78,175,40,225,1524,3,111,136,PZ
121,117,187,63,336,1480,3,112,120,PZ
129,136,214,74,344,1480,3,112,121,PZ
83,136,214,74,344,1480,3,112,122,CG
82,166,273,87,321,1143,3,112,123,CG
123,166,285,88,309,1143,3,112,124,CG
127,166,285,88,309,1038,3,112,125,CG
112,166,285,88,309,1038,3,112,126,CG
102,166,253,84,332,1038,3,112,127,CG
110,156,230,83,358,917,3,112,128,CG
117,156,230,83,358,917,3,112,129,CG
104,156,242,84,344,1358,3,112,130,CG
94,156,265,84,315,1358,3,112,131,CG
105,156,265,84,315,1358,3,112,132,CG
117,146,269,75,279,1340,3,112,133,CG
138,136,246,66,267,1340,3,112,134,CG
164,136,246,66,267,1524,3,112,135,CG
120,97,218,47,214,1524,3,112,136,PZ
83,87,226,42,188,1524,3,112,137,PZ
93,87,226,42,188,1747,3,112,138,PZ
108,87,125,44,365,1001,3,113,119,PZ
