T2,AUGC,KEP,KTRANS,VE,ADC,z,x,y,zone
64,361,234,111,475,988,4,111,126,CG
78,351,234,109,466,937,4,111,127,CG
55,351,234,109,466,937,4,111,128,CG
71,332,269,106,393,1119,4,112,123,CG
61,332,269,106,393,1119,4,112,124,CG
70,341,257,108,418,983,4,112,125,CG
69,361,234,111,475,983,4,112,126,CG
70,351,234,109,466,1012,4,112,127,CG
61,351,234,109,466,1012,4,112,128,CG
55,283,214,90,422,1012,4,112,129,CG
68,244,199,78,391,1099,4,112,130,CG
66,244,199,78,391,1099,4,112,131,CG
72,312,238,103,430,863,4,113,121,CG
73,214,246,111,450,1119,4,113,122,CG
98,224,246,117,476,1119,4,113,123,CG
124,224,246,117,476,1119,4,113,124,CG
103,332,242,117,481,983,4,113,125,CG
106,361,250,129,513,983,4,113,126,CG
113,390,250,139,558,1012,4,113,127,CG
138,390,250,139,558,1012,4,113,128,CG
126,400,226,132,581,1012,4,113,129,CG
79,341,195,109,554,1099,4,113,130,CG
50,341,195,109,554,1099,4,113,131,CG
45,234,125,69,542,935,4,113,132,CG
62,234,125,69,542,935,4,113,133,CG
63,361,257,125,484,863,4,114,120,CG
80,361,257,125,484,863,4,114,121,CG
73,380,242,127,524,1119,4,114,122,CG
83,371,230,123,535,1119,4,114,123,CG
108,371,230,123,535,1119,4,114,124,CG
106,253,218,116,531,983,4,114,125,CG
127,361,238,126,530,983,4,114,126,CG
138,390,253,140,548,1012,4,114,127,CG
188,390,253,140,548,1012,4,114,128,CG
151,449,269,157,579,1012,4,114,129,CG
82,420,273,144,526,1099,4,114,130,CG
68,420,273,144,526,1099,4,114,131,CG
70,293,195,92,475,935,4,114,132,CG
80,293,195,92,475,935,4,114,133,CG
76,234,128,70,544,935,4,114,134,CG
48,234,128,70,544,653,4,114,135,CG
70,253,183,84,457,875,4,115,118,CG
94,283,207,95,462,1184,4,115,119,CG
84,361,257,125,484,1184,4,115,120,CG
86,361,257,125,484,1184,4,115,121,CG
98,380,242,127,524,1056,4,115,122,CG
84,371,230,123,535,1056,4,115,123,CG
73,371,230,123,535,1056,4,115,124,CG
78,253,218,116,531,803,4,115,125,CG
89,361,238,126,530,803,4,115,126,CG
123,390,253,140,548,869,4,115,127,CG
146,390,253,140,548,869,4,115,128,CG
114,449,269,157,579,869,4,115,129,CG
100,420,273,144,526,903,4,115,130,CG
86,420,273,144,526,903,4,115,131,CG
65,293,195,92,475,1068,4,115,132,CG
67,293,195,92,475,1068,4,115,133,CG
80,234,128,70,544,1068,4,115,134,CG
58,234,128,70,544,689,4,115,135,CG
40,175,62,49,772,689,4,115,136,CG
79,253,183,84,457,875,4,116,117,CG
73,253,183,84,457,875,4,116,118,CG
66,283,207,95,462,1184,4,116,119,CG
89,361,257,125,484,1184,4,116,120,CG
101,361,257,125,484,1184,4,116,121,CG
118,380,242,127,524,1056,4,116,122,CG
85,371,230,123,535,1056,4,116,123,CG
71,371,230,123,535,1056,4,116,124,CG
87,253,218,116,531,803,4,116,125,CG
94,361,238,126,530,803,4,116,126,CG
124,390,253,140,548,869,4,116,127,CG
112,390,253,140,548,869,4,116,128,CG
116,449,269,157,579,869,4,116,129,CG
132,420,273,144,526,903,4,116,130,CG
93,420,273,144,526,903,4,116,131,CG
84,293,195,92,475,1068,4,116,132,CG
76,293,195,92,475,1068,4,116,133,CG
63,234,128,70,544,1068,4,116,134,CG
66,234,128,70,544,689,4,116,135,CG
58,175,62,49,772,689,4,116,136,CG
48,166,89,49,555,510,4,116,137,CG
70,205,218,85,390,875,4,117,117,CG
73,205,218,85,390,875,4,117,118,CG
89,283,250,97,388,1184,4,117,119,CG
76,400,293,142,485,1184,4,117,120,CG
75,400,293,142,485,1184,4,117,121,CG
119,439,273,155,564,1056,4,117,122,CG
85,429,214,146,679,1056,4,117,123,CG
94,429,214,146,679,1056,4,117,124,CG
159,390,230,142,612,803,4,117,125,CG
127,380,222,135,607,803,4,117,126,CG
145,400,242,146,606,869,4,117,127,CG
102,400,242,146,606,869,4,117,128,CG
116,439,269,156,576,869,4,117,129,CG
111,429,300,154,512,903,4,117,130,CG
89,429,300,154,512,838,4,117,131,CG
135,361,296,127,432,745,4,117,132,CG
86,361,296,127,432,745,4,117,133,CG
53,312,269,107,394,745,4,117,134,CG
57,312,269,107,394,632,4,117,135,CG
50,195,152,62,413,632,4,117,136,CG
46,175,89,50,550,817,4,117,137,CG
74,214,191,72,375,700,4,118,116,CG
73,263,210,88,420,885,4,118,117,CG
93,263,210,88,420,885,4,118,118,CG
140,293,242,101,420,1121,4,118,119,CG
93,322,277,144,516,1121,4,118,120,CG
70,322,277,144,516,1121,4,118,121,CG
81,322,261,159,602,923,4,118,122,CG
70,429,207,148,712,923,4,118,123,CG
63,429,207,148,712,923,4,118,124,CG
61,390,171,135,775,777,4,118,125,CG
77,390,191,138,717,777,4,118,126,CG
153,420,222,149,659,922,4,118,127,CG
133,420,222,149,659,922,4,118,128,CG
130,429,246,150,611,922,4,118,129,CG
101,400,261,144,545,838,4,118,130,CG
80,400,261,144,545,838,4,118,131,CG
84,341,265,121,452,745,4,118,132,CG
61,341,265,121,452,745,4,118,133,CG
67,302,250,104,417,745,4,118,134,CG
70,302,250,104,417,632,4,118,135,CG
61,126,171,68,400,632,4,118,136,CG
67,107,109,54,493,817,4,118,137,CG
67,107,109,54,493,817,4,118,138,CG
76,214,191,72,375,700,4,119,116,CG
78,263,210,88,420,885,4,119,117,CG
70,263,210,88,420,885,4,119,118,CG
94,293,242,101,420,1121,4,119,119,CG
113,322,277,144,516,1121,4,119,120,CG
73,322,277,144,516,1121,4,119,121,CG
59,322,261,159,602,923,4,119,122,CG
63,429,207,148,712,923,4,119,123,CG
56,429,207,148,712,923,4,119,124,CG
57,390,171,135,775,777,4,119,125,CG
60,390,191,138,717,777,4,119,126,CG
98,420,222,149,659,922,4,119,127,CG
178,420,222,149,659,922,4,119,128,CG
162,429,246,150,611,922,4,119,129,CG
88,400,261,144,545,838,4,119,130,CG
56,400,261,144,545,838,4,119,131,CG
61,341,265,121,452,745,4,119,132,CG
71,341,265,121,452,745,4,119,133,CG
64,302,250,104,417,745,4,119,134,CG
43,302,250,104,417,632,4,119,135,CG
47,126,171,68,400,632,4,119,136,CG
76,107,109,54,493,817,4,119,137,CG
68,107,109,54,493,817,4,119,138,CG
58,175,31,52,1625,817,4,119,139,CG
62,126,171,59,344,929,4,120,115,CG
71,0,0,0,0,929,4,120,116,CG
72,244,214,87,408,855,4,120,117,CG
51,244,214,87,408,855,4,120,118,CG
71,283,218,102,467,823,4,120,119,CG
81,371,253,139,549,823,4,120,120,CG
63,371,253,139,549,823,4,120,121,CG
90,410,261,154,584,761,4,120,122,CG
97,293,257,153,590,761,4,120,123,CG
63,293,257,153,590,761,4,120,124,CG
82,410,253,149,582,866,4,120,125,CG
63,439,226,148,646,866,4,120,126,CG
58,468,234,154,652,996,4,120,127,CG
98,468,234,154,652,996,4,120,128,CG
112,449,253,153,598,996,4,120,129,CG
92,410,265,144,542,1100,4,120,130,CG
58,410,265,144,542,1100,4,120,131,CG
49,322,257,116,452,659,4,120,132,CG
53,322,257,116,452,659,4,120,133,CG
46,273,234,98,422,659,4,120,134,CG
54,273,234,98,422,656,4,120,135,CG
54,244,171,76,438,656,4,120,136,CG
54,224,113,66,591,1084,4,120,137,CG
59,224,113,66,591,1084,4,120,138,CG
60,175,125,79,637,1084,4,120,139,CG
75,185,164,62,378,929,4,121,115,CG
88,146,179,64,354,929,4,121,116,CG
82,234,226,84,369,855,4,121,117,CG
51,234,226,84,369,855,4,121,118,CG
72,283,238,101,421,823,4,121,119,CG
91,351,234,130,551,823,4,121,120,CG
65,351,234,130,551,823,4,121,121,CG
74,380,226,139,613,761,4,121,122,CG
87,283,246,148,600,761,4,121,123,CG
80,283,246,148,600,761,4,121,124,CG
87,302,285,159,552,866,4,121,125,CG
64,507,324,184,563,866,4,121,126,CG
74,527,289,178,618,996,4,121,127,CG
82,527,289,178,618,996,4,121,128,CG
73,468,230,153,663,996,4,121,129,CG
87,400,234,140,592,1100,4,121,130,CG
80,400,234,140,592,1100,4,121,131,CG
63,302,230,110,473,659,4,121,132,CG
59,302,230,110,473,659,4,121,133,CG
59,273,226,98,431,659,4,121,134,CG
71,273,226,98,431,656,4,121,135,CG
63,244,191,83,434,656,4,121,136,CG
56,263,148,79,523,1084,4,121,137,CG
66,263,148,79,523,1084,4,121,138,CG
66,293,136,91,662,1084,4,121,139,CG
70,224,168,100,597,1149,4,121,140,PZ
84,214,136,66,474,982,4,122,113,PZ
77,185,164,62,378,929,4,122,114,PZ
80,185,164,62,378,929,4,122,115,CG
76,146,179,64,354,929,4,122,116,CG
61,234,226,84,369,855,4,122,117,CG
57,234,226,84,369,855,4,122,118,CG
60,283,238,101,421,823,4,122,119,CG
87,351,234,130,551,823,4,122,120,CG
86,351,234,130,551,823,4,122,121,CG
57,380,226,139,613,761,4,122,122,CG
53,283,246,148,600,761,4,122,123,CG
95,283,246,148,600,761,4,122,124,CG
97,302,285,159,552,866,4,122,125,CG
100,507,324,184,563,866,4,122,126,CG
126,527,289,178,618,996,4,122,127,CG
149,527,289,178,618,996,4,122,128,CG
128,468,230,153,663,996,4,122,129,CG
98,400,234,140,592,1100,4,122,130,CG
93,400,234,140,592,1100,4,122,131,CG
79,302,230,110,473,659,4,122,132,CG
86,302,230,110,473,659,4,122,133,CG
76,273,226,98,431,659,4,122,134,CG
42,273,226,98,431,656,4,122,135,CG
57,244,191,83,434,656,4,122,136,CG
102,263,148,79,523,1084,4,122,137,CG
88,263,148,79,523,1084,4,122,138,CG
78,293,136,91,662,1084,4,122,139,CG
85,224,168,100,597,1149,4,122,140,PZ
98,224,168,100,597,1149,4,122,141,PZ
93,273,105,83,762,1204,4,123,113,PZ
78,244,140,80,568,1155,4,123,114,PZ
95,244,140,80,568,1155,4,123,115,PZ
98,224,109,73,657,1155,4,123,116,CG
78,244,191,85,442,966,4,123,117,CG
78,244,191,85,442,966,4,123,118,CG
62,283,246,104,424,719,4,123,119,CG
59,351,230,126,544,719,4,123,120,CG
79,351,230,126,544,719,4,123,121,CG
58,361,191,124,647,840,4,123,122,CG
55,400,214,135,632,840,4,123,123,CG
103,400,214,135,632,840,4,123,124,CG
131,332,300,163,543,987,4,123,125,CG
149,576,461,245,528,987,4,123,126,CG
140,634,421,250,587,920,4,123,127,CG
167,634,421,250,587,920,4,123,128,CG
314,634,394,233,591,920,4,123,129,CG
196,527,336,190,562,1054,4,123,130,CG
120,527,336,190,562,1054,4,123,131,CG
85,351,207,109,525,803,4,123,132,CG
76,351,207,109,525,803,4,123,133,CG
80,293,168,90,534,803,4,123,134,CG
49,293,168,90,534,992,4,123,135,CG
64,322,277,114,410,992,4,123,136,CG
111,390,312,137,441,1231,4,123,137,CG
70,390,312,137,441,1231,4,123,138,CG
69,488,343,174,508,1231,4,123,139,CG
115,468,312,163,520,1310,4,123,140,PZ
98,468,312,163,520,1310,4,123,141,PZ
75,293,293,135,458,1310,4,123,142,PZ
91,234,0,62,0,1204,4,124,112,PZ
105,302,66,85,1235,1204,4,124,113,PZ
120,283,89,84,907,1155,4,124,114,PZ
94,283,89,84,907,1155,4,124,115,PZ
81,263,85,80,916,1155,4,124,116,PZ
80,244,132,80,593,966,4,124,117,CG
66,244,132,80,593,966,4,124,118,CG
55,273,222,97,441,719,4,124,119,CG
52,341,285,126,445,719,4,124,120,CG
55,341,285,126,445,719,4,124,121,CG
54,371,265,131,494,840,4,124,122,CG
83,420,285,148,517,840,4,124,123,CG
153,420,285,148,517,840,4,124,124,CG
134,488,355,177,497,987,4,124,125,CG
140,625,476,242,508,987,4,124,126,CG
152,605,500,263,525,920,4,124,127,CG
138,605,500,263,525,920,4,124,128,CG
232,586,496,254,511,920,4,124,129,CG
179,576,480,229,477,1054,4,124,130,CG
134,576,480,229,477,1054,4,124,131,CG
126,371,339,139,408,803,4,124,132,CG
77,371,339,139,408,803,4,124,133,CG
64,302,257,109,422,803,4,124,134,CG
77,302,257,109,422,992,4,124,135,CG
84,361,324,131,407,992,4,124,136,CG
114,459,378,168,443,1231,4,124,137,CG
100,459,378,168,443,1231,4,124,138,CG
84,615,433,230,527,1231,4,124,139,PZ
116,586,410,214,521,1310,4,124,140,PZ
105,586,410,214,521,1310,4,124,141,PZ
82,459,343,162,470,1310,4,124,142,PZ
80,234,0,62,0,1543,4,125,112,PZ
80,302,66,85,1235,1543,4,125,113,PZ
115,283,89,84,907,1226,4,125,114,PZ
89,283,89,84,907,1226,4,125,115,PZ
82,263,85,80,916,1226,4,125,116,PZ
82,244,132,80,593,1187,4,125,117,CG
56,244,132,80,593,1187,4,125,118,CG
48,273,222,97,441,956,4,125,119,CG
46,341,285,126,445,956,4,125,120,CG
53,341,285,126,445,956,4,125,121,CG
71,371,265,131,494,764,4,125,122,CG
89,420,285,148,517,764,4,125,123,CG
109,420,285,148,517,764,4,125,124,CG
121,488,355,177,497,879,4,125,125,CG
145,625,476,242,508,879,4,125,126,CG
136,605,500,263,525,880,4,125,127,CG
164,605,500,263,525,880,4,125,128,CG
244,586,496,254,511,880,4,125,129,CG
162,576,480,229,477,1075,4,125,130,CG
156,576,480,229,477,1075,4,125,131,CG
152,371,339,139,408,1010,4,125,132,CG
75,371,339,139,408,1010,4,125,133,CG
67,302,257,109,422,1010,4,125,134,CG
112,302,257,109,422,1153,4,125,135,CG
129,361,324,131,407,1153,4,125,136,CG
116,459,378,168,443,1475,4,125,137,CG
118,459,378,168,443,1475,4,125,138,CG
138,615,433,230,527,1475,4,125,139,PZ
125,586,410,214,521,1484,4,125,140,PZ
111,586,410,214,521,1484,4,125,141,PZ
102,459,343,162,470,1484,4,125,142,PZ
83,429,308,142,462,1155,4,125,143,PZ
188,244,132,79,594,1125,4,126,111,PZ
