T2,AUGC,KEP,KTRANS,VE,ADC,z,x,y,zone
85,146,308,50,164,200,2,119,131,CG
71,146,308,50,164,540,2,119,132,CG
77,166,328,57,173,594,2,120,127,CG
80,166,328,57,173,594,2,120,128,CG
77,175,339,60,178,496,2,120,129,CG
60,175,410,65,159,496,2,120,130,CG
62,175,410,63,153,496,2,120,131,CG
68,175,410,63,153,685,2,120,132,CG
62,146,355,51,145,685,2,120,133,CG
61,126,332,44,135,736,2,120,134,CG
71,126,332,44,135,736,2,120,135,CG
91,97,273,31,112,736,2,120,136,CG
81,136,289,44,154,776,2,121,126,CG
78,166,328,57,173,594,2,121,127,CG
73,166,328,57,173,594,2,121,128,CG
71,175,339,60,178,496,2,121,129,CG
67,175,410,65,159,496,2,121,130,CG
60,175,410,63,153,496,2,121,131,CG
57,175,410,63,153,685,2,121,132,CG
58,146,355,51,145,685,2,121,133,CG
63,126,332,44,135,736,2,121,134,CG
71,126,332,44,135,736,2,121,135,CG
72,97,273,31,112,736,2,121,136,CG
78,78,277,26,95,1065,2,121,137,CG
85,166,418,60,144,776,2,122,125,CG
71,175,414,65,159,776,2,122,126,CG
77,214,402,75,187,594,2,122,127,CG
75,214,402,75,187,594,2,122,128,CG
61,224,433,81,187,496,2,122,129,CG
57,214,504,84,168,496,2,122,130,CG
62,205,484,80,165,496,2,122,131,CG
55,205,484,80,165,685,2,122,132,CG
54,195,449,71,158,685,2,122,133,CG
65,175,457,67,148,736,2,122,134,CG
65,175,457,67,148,736,2,122,135,CG
59,146,418,53,128,736,2,122,136,CG
60,136,382,44,117,1065,2,122,137,CG
70,136,382,44,117,1065,2,122,138,CG
76,166,418,60,144,917,2,123,124,CG
76,166,418,60,144,917,2,123,125,CG
73,175,414,65,159,917,2,123,126,CG
73,214,402,75,187,917,2,123,127,CG
72,214,402,75,187,917,2,123,128,CG
60,224,433,81,187,960,2,123,129,CG
49,214,504,84,168,960,2,123,130,CG
57,205,484,80,165,960,2,123,131,CG
