T2,AUGC,KEP,KTRANS,VE,ADC,z,x,y,zone
56,205,285,70,246,527,3,117,124,CG
58,205,285,70,246,693,3,117,125,CG
64,205,285,70,246,693,3,117,126,CG
61,156,132,49,373,693,3,117,127,CG
56,302,539,121,225,723,3,118,121,CG
63,205,285,70,246,723,3,118,122,CG
71,205,285,70,246,527,3,118,123,CG
65,205,285,70,246,527,3,118,124,CG
64,205,285,70,246,693,3,118,125,CG
57,205,285,70,246,693,3,118,126,CG
53,156,132,49,373,693,3,118,127,CG
59,156,132,49,373,592,3,118,128,CG
63,166,136,52,379,592,3,118,129,CG
61,400,386,153,395,723,3,119,120,CG
50,400,386,153,395,723,3,119,121,CG
57,312,289,105,362,723,3,119,122,CG
54,312,289,105,362,527,3,119,123,CG
48,312,289,105,362,527,3,119,124,CG
50,312,289,105,362,693,3,119,125,CG
53,312,289,105,362,693,3,119,126,CG
64,205,300,69,230,693,3,119,127,CG
62,205,300,69,230,592,3,119,128,CG
55,205,320,73,229,592,3,119,129,CG
58,205,320,73,229,592,3,119,130,CG
61,205,320,73,229,870,3,119,131,CG
62,302,336,103,307,694,3,120,119,CG
60,400,386,153,395,898,3,120,120,CG
63,400,386,153,395,898,3,120,121,CG
71,312,289,105,362,898,3,120,122,CG
69,312,289,105,362,801,3,120,123,CG
56,312,289,105,362,801,3,120,124,CG
48,312,289,105,362,546,3,120,125,CG
55,312,289,105,362,546,3,120,126,CG
66,205,300,69,230,546,3,120,127,CG
54,205,300,69,230,858,3,120,128,CG
56,205,320,73,229,858,3,120,129,CG
64,205,320,73,229,858,3,120,130,CG
56,205,320,73,229,744,3,120,131,CG
72,205,320,73,229,744,3,120,132,CG
70,302,336,103,307,694,3,121,118,CG
61,302,336,103,307,694,3,121,119,CG
67,400,386,153,395,898,3,121,120,CG
70,400,386,153,395,898,3,121,121,CG
61,312,289,105,362,898,3,121,122,CG
55,312,289,105,362,801,3,121,123,CG
61,312,289,105,362,801,3,121,124,CG
67,312,289,105,362,546,3,121,125,CG
66,312,289,105,362,546,3,121,126,CG
73,205,300,69,230,546,3,121,127,CG
78,205,300,69,230,858,3,121,128,CG
70,205,320,73,229,858,3,121,129,CG
61,205,320,73,229,858,3,121,130,CG
53,205,320,73,229,744,3,121,131,CG
61,205,320,73,229,744,3,121,132,CG
77,224,281,72,259,925,3,121,133,CG
60,302,336,103,307,971,3,122,118,CG
50,302,336,103,307,971,3,122,119,CG
57,400,386,153,395,1228,3,122,120,CG
69,400,386,153,395,1228,3,122,121,CG
63,312,289,105,362,1228,3,122,122,CG
69,312,289,105,362,1187,3,122,123,CG
85,312,289,105,362,1187,3,122,124,CG
70,312,289,105,362,1018,3,122,125,CG
56,312,289,105,362,1018,3,122,126,CG
76,205,300,69,230,1018,3,122,127,CG
112,205,300,69,230,1251,3,122,128,CG
92,205,320,73,229,1251,3,122,129,CG
69,205,320,73,229,1251,3,122,130,CG
73,205,320,73,229,968,3,122,131,CG
68,205,320,73,229,968,3,122,132,CG
62,224,281,72,259,745,3,122,133,CG
70,302,336,103,307,969,3,123,117,CG
66,302,336,103,307,971,3,123,118,CG
67,302,336,103,307,971,3,123,119,CG
79,400,386,153,395,1228,3,123,120,CG
85,400,386,153,395,1228,3,123,121,CG
82,312,289,105,362,1228,3,123,122,CG
143,312,289,105,362,1187,3,123,123,CG
171,312,289,105,362,1187,3,123,124,CG
86,312,289,105,362,1018,3,123,125,CG
74,312,289,105,362,1018,3,123,126,CG
126,205,300,69,230,1018,3,123,127,CG
147,205,300,69,230,1251,3,123,128,CG
101,205,320,73,229,1251,3,123,129,CG
72,205,320,73,229,1251,3,123,130,CG
89,205,320,73,229,968,3,123,131,CG
98,205,320,73,229,968,3,123,132,CG
71,224,281,72,259,745,3,123,133,CG
75,224,281,72,259,745,3,123,134,CG
64,380,550,151,274,969,3,124,117,CG
93,380,550,151,274,971,3,124,118,CG
164,380,550,151,274,971,3,124,119,CG
168,595,468,219,466,1228,3,124,120,CG
120,595,468,219,466,1228,3,124,121,CG
98,449,394,170,431,1228,3,124,122,CG
95,449,394,170,431,1187,3,124,123,CG
98,449,394,170,431,1187,3,124,124,CG
83,449,394,170,431,1018,3,124,125,CG
83,449,394,170,431,1018,3,124,126,CG
134,400,300,145,482,1018,3,124,127,CG
142,400,300,145,482,1251,3,124,128,CG
126,371,414,141,340,1251,3,124,129,CG
91,371,414,141,340,1251,3,124,130,CG
66,371,414,141,340,968,3,124,131,CG
91,371,414,141,340,968,3,124,132,CG
85,283,609,151,249,745,3,124,133,CG
64,283,609,151,249,745,3,124,134,CG
73,263,531,135,255,745,3,124,135,CG
80,380,550,151,274,1323,3,125,116,CG
101,380,550,151,274,1323,3,125,117,CG
167,380,550,151,274,1418,3,125,118,CG
165,380,550,151,274,1418,3,125,119,CG
127,595,468,219,466,1358,3,125,120,CG
110,595,468,219,466,1358,3,125,121,CG
109,449,394,170,431,1358,3,125,122,CG
85,449,394,170,431,1032,3,125,123,CG
67,449,394,170,431,1032,3,125,124,CG
72,449,394,170,431,865,3,125,125,CG
80,449,394,170,431,865,3,125,126,CG
98,400,300,145,482,865,3,125,127,CG
106,400,300,145,482,1040,3,125,128,CG
154,371,414,141,340,1040,3,125,129,CG
134,371,414,141,340,1040,3,125,130,CG
67,371,414,141,340,1146,3,125,131,CG
94,371,414,141,340,1146,3,125,132,CG
117,283,609,151,249,1100,3,125,133,CG
67,283,609,151,249,1100,3,125,134,CG
66,263,531,135,255,1100,3,125,135,CG
76,478,648,194,298,1323,3,126,116,CG
112,478,648,194,298,1323,3,126,117,CG
172,478,648,194,298,1418,3,126,118,CG
121,478,648,194,298,1418,3,126,119,CG
99,634,601,257,429,1358,3,126,120,CG
82,634,601,257,429,1358,3,126,121,CG
67,488,504,194,385,1358,3,126,122,CG
72,488,504,194,385,1032,3,126,123,CG
